Source Indicator ID,Source Name,Indicator Category,Indicator Name,Indicator Description,Year,Location,Value,Gender,Unit,Desired Direction
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2018,AZ,70613,Male,people,high
B24012_004E,American Community Survey,Income,"Management, business, and financial occupations",,2018,US,77645,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2010,Bullhead City,75929,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2010,AZ,67165,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2010,US,70808,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2011,Bullhead City,71563,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2011,AZ,69558,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2011,US,72845,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2012,Bullhead City,51939,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2012,AZ,68586,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2012,US,73571,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2013,Bullhead City,54643,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2013,AZ,69218,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2013,US,74506,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2014,Bullhead City,54250,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2014,AZ,69317,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2014,US,75224,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2015,Bullhead City,44833,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2015,AZ,69640,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2015,US,75429,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2016,Bullhead City,42019,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2016,AZ,70735,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2016,US,76381,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2017,Bullhead City,42364,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2017,AZ,73468,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2017,US,78601,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2018,Bullhead City,40583,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2018,AZ,75335,Male,people,high
B24012_005E,American Community Survey,Income,Management occupations,,2018,US,80188,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2010,Bullhead City,27426,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2010,AZ,56487,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2010,US,62499,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2011,Bullhead City,48313,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2011,AZ,59423,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2011,US,64586,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2012,Bullhead City,27734,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2012,AZ,59043,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2012,US,64969,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2013,Bullhead City,-666666666,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2013,AZ,59028,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2013,US,65624,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2014,Bullhead City,40938,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2014,AZ,58039,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2014,US,66202,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2015,Bullhead City,39464,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2015,AZ,58763,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2015,US,65988,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2016,Bullhead City,41435,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2016,AZ,58414,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2016,US,66669,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2017,Bullhead City,42500,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2017,AZ,59535,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2017,US,68361,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2018,Bullhead City,60893,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2018,AZ,62148,Male,people,high
B24012_006E,American Community Survey,Income,Business and financial operations occupations,,2018,US,72486,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2010,Bullhead City,21579,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2010,AZ,67471,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2010,US,69948,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2011,Bullhead City,39556,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2011,AZ,69943,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2011,US,71943,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2012,Bullhead City,39493,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2012,AZ,70821,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2012,US,73176,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2013,Bullhead City,39253,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2013,AZ,71417,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2013,US,74193,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2014,Bullhead City,41582,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2014,AZ,72265,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2014,US,75109,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2015,Bullhead City,41616,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2015,AZ,72060,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2015,US,75275,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2016,Bullhead City,54500,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2016,AZ,72129,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2016,US,76261,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2017,Bullhead City,61797,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2017,AZ,74596,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2017,US,78559,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2018,Bullhead City,63839,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2018,AZ,75952,Male,people,high
B24012_007E,American Community Survey,Income,"Computer, engineering, and science occupations",,2018,US,80324,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2010,Bullhead City,44297,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2010,AZ,64579,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2010,US,71470,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2011,Bullhead City,72734,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2011,AZ,67698,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2011,US,73798,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2012,Bullhead City,51042,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2012,AZ,67979,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2012,US,74903,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2013,Bullhead City,52375,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2013,AZ,68896,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2013,US,75890,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2014,Bullhead City,58050,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2014,AZ,70257,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2014,US,76680,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2015,Bullhead City,57798,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2015,AZ,70238,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2015,US,76903,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2016,Bullhead City,54600,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2016,AZ,69439,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2016,US,78282,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2017,Bullhead City,61797,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2017,AZ,72883,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2017,US,80780,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2018,Bullhead City,90833,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2018,AZ,74445,Male,people,high
B24012_008E,American Community Survey,Income,Computer and mathematical occupations,,2018,US,82729,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2010,Bullhead City,20341,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2010,AZ,73482,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2010,US,70597,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2011,Bullhead City,38569,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2011,AZ,75143,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2011,US,72741,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2012,Bullhead City,38598,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2012,AZ,76281,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2012,US,74070,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2013,Bullhead City,38628,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2013,AZ,77308,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2013,US,75433,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2014,Bullhead City,40775,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2014,AZ,78580,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2014,US,76092,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2015,Bullhead City,41220,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2015,AZ,78638,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2015,US,76364,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2016,Bullhead City,51333,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2016,AZ,79546,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2016,US,77442,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2017,Bullhead City,52159,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2017,AZ,81567,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2017,US,79569,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2018,Bullhead City,51563,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2018,AZ,83018,Male,people,high
B24012_009E,American Community Survey,Income,Architecture and engineering occupations,,2018,US,81529,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2010,Bullhead City,21635,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2010,AZ,54877,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2010,US,58430,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2011,Bullhead City,-666666666,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2011,AZ,53694,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2011,US,60156,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2012,Bullhead City,-666666666,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2012,AZ,57086,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2012,US,60753,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2013,Bullhead City,-666666666,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2013,AZ,54108,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2013,US,60756,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2014,Bullhead City,-666666666,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2014,AZ,52589,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2014,US,61272,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2015,Bullhead City,-666666666,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2015,AZ,51949,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2015,US,61083,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2016,Bullhead City,-666666666,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2016,AZ,53626,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2016,US,61337,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2017,Bullhead City,-666666666,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2017,AZ,54035,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2017,US,62452,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2018,Bullhead City,-666666666,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2018,AZ,54949,Male,people,high
B24012_010E,American Community Survey,Income,"Life, physical, and social science occupations",,2018,US,63939,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2010,Bullhead City,36475,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2010,AZ,42542,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2010,US,47234,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2011,Bullhead City,35788,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2011,AZ,42854,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2011,US,48468,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2012,Bullhead City,35952,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2012,AZ,42921,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2012,US,49105,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2013,Bullhead City,39031,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2013,AZ,42537,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2013,US,49235,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2014,Bullhead City,40147,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2014,AZ,41860,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2014,US,49340,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2015,Bullhead City,37353,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2015,AZ,41575,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2015,US,49036,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2016,Bullhead City,35536,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2016,AZ,42007,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2016,US,49421,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2017,Bullhead City,30278,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2017,AZ,42376,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2017,US,50382,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2018,Bullhead City,24514,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2018,AZ,43077,Male,people,high
B24012_011E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2018,US,51613,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2010,Bullhead City,31146,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2010,AZ,40641,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2010,US,38401,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2011,Bullhead City,31164,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2011,AZ,40434,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2011,US,39243,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2012,Bullhead City,31172,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2012,AZ,40313,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2012,US,39836,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2013,Bullhead City,33148,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2013,AZ,40122,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2013,US,40295,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2014,Bullhead City,34464,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2014,AZ,39975,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2014,US,40430,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2015,Bullhead City,33214,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2015,AZ,38502,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2015,US,40322,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2016,Bullhead City,21607,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2016,AZ,40279,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2016,US,40630,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2017,Bullhead City,24196,Male,people,high
B24012_012E,American Community Survey,Income,Community and social service occupations,,2017,AZ,40295,Male,people,high
