Transaction Type,Payee/Customer/Vendor Name,Amount,Transaction Description,Posting Date,Transaction ID,Fund1,Dept1,Div1,Dept_Name,Year,Fund_Name
EX,"DAVENPORT GROUP, INC.","$33,433.50",PD STOARGE AREA NETWORK - 7435,20180328,20353 - 99523 - 03/28/2018 - 2180,101 - GENERAL ,700 - CAPITAL OUTLAY,2050 - TECHNOLOGY SERVICES,Capital Outlay,2018,GENERAL 
EX,"DAVENPORT GROUP, INC.","$33,433.50",PD VIRTUAL SERVER HOST - 7435,20180320,20353 - 99508 - 03/20/2018 - 2180,101 - GENERAL ,700 - CAPITAL OUTLAY,2050 - TECHNOLOGY SERVICES,Capital Outlay,2018,GENERAL 
EX,"DAVENPORT GROUP, INC.","$14,799.18",REPLACEMENT SWITCH - 7435,20180320,20353 - 99521 - 03/20/2018 - 2180,101 - GENERAL ,700 - CAPITAL OUTLAY,2050 - TECHNOLOGY SERVICES,Capital Outlay,2018,GENERAL 
EX,DELL MARKETING LP,"$31,957.21",DELL XC730XD FOR ESCI - 7435,20170530,5399 - 10156606751 - 05/30/2017 - 2180,101 - GENERAL ,700 - CAPITAL OUTLAY,2050 - TECHNOLOGY SERVICES,Capital Outlay,2017,GENERAL 
EX,DELL MARKETING LP,"$31,957.21",DELL XC730XD FOR ESXI - 7435,20170530,5399 - 10156606760 - 05/30/2017 - 2180,101 - GENERAL ,700 - CAPITAL OUTLAY,2050 - TECHNOLOGY SERVICES,Capital Outlay,2017,GENERAL 
EX,DELL MARKETING LP,"$31,957.21",DELL XC730XD FOR ESXI DOCUMENT IMAGING SERVER - 7435,20170628,5399 - 10156906818 - 06/28/2017 - 2180,101 - GENERAL ,700 - CAPITAL OUTLAY,2050 - TECHNOLOGY SERVICES,Capital Outlay,2017,GENERAL 
EX,"ENFORCEMENT TECHNOLOGY GROUP, INC.","$24,010.11",DIRECT LINK BRIDGE SERIES CRISIS RESPONSE SYSTEM - 7410,20171024,20219 - 4569 - 10/24/2017 - 2203,101 - GENERAL ,700 - CAPITAL OUTLAY,5010 - POLICE PATROL,Capital Outlay,2017,GENERAL 
EX,JOHN DEERE COMPANY,"$32,282.01",JOHN DEERE GATORS - 7410,20171023,2829 - 115947693 - 10/23/2017 - 2190,101 - GENERAL ,700 - CAPITAL OUTLAY,3550 - PARKS MAINTENANCE,Capital Outlay,2017,GENERAL 
EX,MCCORMICK CONSTRUCTION CO,"$25,148.31",HOT MIX (D 1/2) ASPHALT - 7320,20170614,1307 - AC 1648 - 06/14/2017 - 2189,101 - GENERAL ,700 - CAPITAL OUTLAY,3550 - PARKS MAINTENANCE,Capital Outlay,2017,GENERAL 
EX,MHQ OF ARIZONA,"$16,754.22","CARGO BOXES, CARGO RADIO TRAYS, TOUGHBOOK DOCKING STATIONS - 7420",20170621,3997 - 110484 - 06/21/2017 - 2200,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,Capital Outlay,2017,GENERAL 
EX,NEVADA TRANSIT & LASER,"$26,343.90",SURVEYOR EQUIPMENT - 7410,20180109,9229 - 42800 - 01/09/2018 - 2215,101 - GENERAL ,700 - CAPITAL OUTLAY,6010 - ENGINEERING,Capital Outlay,2018,GENERAL 
EX,PEORIA FORD,"$30,116.51",2017 FORD EXPLORER MP - PATROL VEHICLE - 7420,20180104,19980 - 183251 - 01/04/2018 - 2200,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,Capital Outlay,2018,GENERAL 
EX,PEORIA FORD,"$30,116.51",2017 FORD EXPLORER MP - PATROL VEHICLE - 7420,20180104,19980 - 183252 - 01/04/2018 - 2200,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,Capital Outlay,2018,GENERAL 
EX,PEORIA FORD,"$30,116.51",2017 FORD EXPLORER MP - PATROL VEHICLE - 7420,20180104,19980 - 183253 - 01/04/2018 - 2200,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,Capital Outlay,2018,GENERAL 
EX,PEORIA FORD,"$30,116.51",2017 FORD EXPLORER MP - PATROL VEHICLE - 7420,20180104,19980 - 183254 - 01/04/2018 - 2200,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,Capital Outlay,2018,GENERAL 
EX,PEORIA FORD,"$30,116.51",2017 FORD EXPLORER MP - PATROL VEHICLE - 7420,20180104,19980 - 183255 - 01/04/2018 - 2200,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,Capital Outlay,2018,GENERAL 
EX,PEORIA FORD,"$30,116.51",2017 FORD EXPLORER WITH POLICE PACKAGE - 7420,20170419,19980 - 177531 - 04/19/2017 - 2200,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,Capital Outlay,2017,GENERAL 
EX,PEORIA FORD,"$30,116.51",2017 FORD EXPLORER WITH POLICE PACKAGE - 7420,20170419,19980 - 177532 - 04/19/2017 - 2200,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,Capital Outlay,2017,GENERAL 
EX,PEORIA FORD,"$30,116.51",2017 FORD EXPLORER WITH POLICE PACKAGE - 7420,20170419,19980 - 177533 - 04/19/2017 - 2200,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,Capital Outlay,2017,GENERAL 
EX,WAYFAIR LLC,"$5,982.49","DESKS, VERITICAL FILE AND CHAIRS FOR THE MORPHOBIS SYSTEM - 7410",20170606,20092 - 2464315953 - 06/06/2017 - 2203,101 - GENERAL ,700 - CAPITAL OUTLAY,5010 - POLICE PATROL,Capital Outlay,2017,GENERAL 
EX,CALIFORNIA PAVEMENT MAINTENANCE CO INC,"$34,995.00","EMULSION TANKER TRUCK WITH TRAILER, INCLUDES AS-IS TRANSFER PUMP - 7410",20171128,13166 - 5630 - 11/28/2017 - 2550,201 - STREETS (HURF),700 - CAPITAL OUTLAY,6100 - STREET OPERATIONS,Capital Outlay,2017,STREETS (HURF)
EX,CALIFORNIA PAVEMENT MAINTENANCE CO INC,"$12,689.00",STANDARD SPREADER BOX FOR SLURRY - 7410,20180214,13166 - 5685 - 02/14/2018 - 2550,201 - STREETS (HURF),700 - CAPITAL OUTLAY,6100 - STREET OPERATIONS,Capital Outlay,2018,STREETS (HURF)
EX,EMPIRE SOURTHWEST LLC,"$65,002.00",BROCE ROAD BROOM MODEL RCT350 BR - 7410,20171106,1191 - EMSL00050599 - 11/06/2017 - 2550,201 - STREETS (HURF),700 - CAPITAL OUTLAY,6100 - STREET OPERATIONS,Capital Outlay,2017,STREETS (HURF)
EX,ROYCE INDUSTRIES LC,"$7,956.27","PRESSURE WASHER,HDS3,9/30 EG ST NG 208V 1PH - 7410",20170822,11889 - LAS2000916 - 08/22/2017 - 2550,201 - STREETS (HURF),700 - CAPITAL OUTLAY,6100 - STREET OPERATIONS,Capital Outlay,2017,STREETS (HURF)
EX,STATE OF ARIZONA,"$10,730.70",G4518R2T-ARBOC SOM 28-210WB - LOCAL MATCH MPD TRANSIT - 7420,20180213,3003 - MPG185993 - 02/13/2018 - 7797,211 - TRANSIT,700 - CAPITAL OUTLAY,3586 - TRANSIT ADOT,Capital Outlay,2018,TRANSIT
EX,HAZLEWOOD WELDING,"$6,172.00",MFG & INSTALL MEMORIAL RING & GLASS FRAME PROTECTOR - 7320,20170907,17004 - 10221 - 09/07/2017 - 10453,219 - VETERANS MEMORIAL PARK,700 - CAPITAL OUTLAY,3550 - PARKS MAINTENANCE,Capital Outlay,2017,VETERANS MEMORIAL PARK
EX,AZTECA CONCRETE INC,"$21,500.00",KINDER-MORGAN DRIVEWAY - RIO LOMAS AREA DRAINAGE IMPROVEMENTS - 7321,20170606,2112 - 17-089I - 06/06/2017 - 7334,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6306 - RIO LOMAS ABATEMENT,Capital Outlay,2017,FLOOD CONTROL
EX,MOHAVE COUNTY,"$58,500.00",SHARE COST OF CTP GRANT PROJECT FOR FEMA PER IGA - 7321,20171116,217 - 1006-2 - 11/16/2017 - 4297,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6390 - MISC. DRAINAGE IMPRV,Capital Outlay,2017,FLOOD CONTROL
EX,MUNOZ GRADING & EXCAVATING LLC,"$10,340.41",REPAIR OF SEVERAL DRAINAGE SPILLWAYS - PROJECT 000042 - 7321,20171120,1255 - 102717 - 11/20/2017 - 4297,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6390 - MISC. DRAINAGE IMPRV,Capital Outlay,2017,FLOOD CONTROL
EX,NOT APPLICABLE,"$48,844.00",DRAINAGE IMPROVEMENTS - 7321,20170927,2018-00002327 - 5034927,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6306 - RIO LOMAS ABATEMENT,Capital Outlay,2017,FLOOD CONTROL
EX,NOT APPLICABLE,"$48,844.00",DRAINAGE IMPROVEMENTS - 7321,20170927,2018-00002413 - 5036958,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6390 - MISC. DRAINAGE IMPRV,Capital Outlay,2017,FLOOD CONTROL
EX,STEWART CONCRETE & BOBCAT LLC,"$26,902.00",CONCRETE CHANNEL IMPROVEMENTS - NATURE CENTER DRAINAGE - 7321,20170906,18946 - 3807 - 09/06/2017 - 7334,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6306 - RIO LOMAS ABATEMENT,Capital Outlay,2017,FLOOD CONTROL
EX,STEWART CONCRETE & BOBCAT LLC,"$15,942.00",CONCRETE CHANNEL IMPROVEMENTS - SOUTH KYLE CHANNEL - 7321,20170906,18946 - 3806 - 09/06/2017 - 7334,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6306 - RIO LOMAS ABATEMENT,Capital Outlay,2017,FLOOD CONTROL
EX,TRI-R CONSTRUCTION ,"$15,675.00",CONSTRUCTION OF BULLHEAD PARKWAY SEDIMENT BASINS & SLOPE REPAIR - 7321,20180305,6536 - 6233 - 03/05/2018 - 4297,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6390 - MISC. DRAINAGE IMPRV,Capital Outlay,2018,FLOOD CONTROL
EX,"TURNQUIST EXCAVATING, INC","$10,450.00",FOX WASH CHANNEL - CLEAN OUT & RESHAPE - 7321,20170823,13520 - 2016688 - 08/23/2017 - 4297,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6390 - MISC. DRAINAGE IMPRV,Capital Outlay,2017,FLOOD CONTROL
EX,"TURNQUIST EXCAVATING, INC","$6,000.00",RIO LOMAS DRAINAGE/SOUTH KYLE CHANNEL - FINAL INVOICE - 7321,20171010,13520 - 2016710 - 10/10/2017 - 7334,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6306 - RIO LOMAS ABATEMENT,Capital Outlay,2017,FLOOD CONTROL
EX,ALTERNATIVE LED,"$6,780.00",50% DEPOSIT ON ROTARY PARK PICKLEBALL COURTS 17-C-003 - 7320,20170912,20242 - 5482 - 09/12/2017 - 4518,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3554 - ROTARY PARK IMPROVEMENTS,Capital Outlay,2017,PARKS & RECREATION
EX,ALTERNATIVE LED,"$6,780.00",BALANCE DUE ON ROTARY PARK PICKLEBALL COURTS 17-C-003 - 7320,20171102,20242 - 5482-FINAL - 11/02/2017 - 4518,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3554 - ROTARY PARK IMPROVEMENTS,Capital Outlay,2017,PARKS & RECREATION
EX,"AMERICAN FENCE COMPANY OF ARIZONA, INC.","$63,750.00",INSTALLATION OF GUARD RAIL PER CRNC CONTRACT AGREEMENT - 7320,20180307,20316 - 2050435 - 03/07/2018 - 7162,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3557 - COLORADO RIVER NATURE CENTER IMP,Capital Outlay,2018,PARKS & RECREATION
EX,CEMEX CONSTRUCTION MATERIALS,"$8,121.42",4000PSI #57 25% FA FLOW CONCRETE FOR PICKLEBALL COURTS - 7320,20171012,4551 - 9436438066 - 10/12/2017 - 4518,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3554 - ROTARY PARK IMPROVEMENTS,Capital Outlay,2017,PARKS & RECREATION
EX,CEMEX CONSTRUCTION MATERIALS,"$8,875.68",CONCRETE FOR ROTARY PARK PICKLEBALL COURTS - 7320,20171004,4551 - 9436400061 - 10/04/2017 - 4518,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3554 - ROTARY PARK IMPROVEMENTS,Capital Outlay,2017,PARKS & RECREATION
EX,COMMUNITY PRIDE ADVOCATES,"$80,000.00",GARY KEITH PARK IMPROVEMENTS DEVELOPMENT 16-C-004 - 7320,20170913,9053 - 090717 - 09/13/2017 - 4514,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3552 - GARY KEITH PARK IMPRVMTS,Capital Outlay,2017,PARKS & RECREATION
EX,EAGLE MASONRY & FENCE INC,"$16,909.23",ROTARY PARK PICKLEBALL COURTS 17-C-003 - 7320,20171024,19595 - 4022 - 10/24/2017 - 4518,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3554 - ROTARY PARK IMPROVEMENTS,Capital Outlay,2017,PARKS & RECREATION
EX,"HIMES CONSULTING, LLC","$14,100.00","DELINEATION, ARCHAEOLOGICAL REPRT, BIOLOGICAL EVAL 17-C-001 - 7320",20171205,19565 - 1716 - 12/05/2017 - 4513,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3551 - COMMUNITY PARK IMPRVMTS,Capital Outlay,2017,PARKS & RECREATION
EX,LOPEZ CONSTRUCTION LLC,"$8,742.50",POURED REMAINING HALF OF PICKLEBALL COURT - 17C-003 - 7320,20171106,20241 - 1341 - 11/06/2017 - 4518,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3554 - ROTARY PARK IMPROVEMENTS,Capital Outlay,2017,PARKS & RECREATION
EX,LOPEZ CONSTRUCTION LLC,"$8,742.50",ROTARY PARK PICKLEBALL COURTS - 1ST DRAW  - 7320,20170927,20241 - 1339 - 09/27/2017 - 4518,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3554 - ROTARY PARK IMPROVEMENTS,Capital Outlay,2017,PARKS & RECREATION
EX,MERTENS HEAVY EQUIPMENT REPAIR,"$14,395.60",CAT D8N DOZER  RENTAL FOR 08/16-09/13/17 - 7320,20171017,7441 - 100776 - 10/17/2017 - 4513,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3551 - COMMUNITY PARK IMPRVMTS,Capital Outlay,2017,PARKS & RECREATION
EX,MERTENS HEAVY EQUIPMENT REPAIR,"$5,792.50",CAT D8N DOZER RENTAL FOR 09/14-09/20/17 - 7320,20171025,7441 - 100776A - 10/25/2017 - 4513,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3551 - COMMUNITY PARK IMPRVMTS,Capital Outlay,2017,PARKS & RECREATION
EX,MOHAVE ELECTRIC COOPERATIVE INC,"$34,715.16",COST ESTIMATE FOR ELECTRIC SERVICE RP NORTH FIELD LIGHTING - 7320,20170525,1318 - WO 2017202 - 05/25/2017 - 4518,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3554 - ROTARY PARK IMPROVEMENTS,Capital Outlay,2017,PARKS & RECREATION
EX,"MUSCO SPORTS LIGHTING,INC.","$409,830.00",LIGHTING PROJECT BILLING FOR ROTARY PARK NORTH SOCCER FIELDS - 7320,20170607,3477 - 296412 - 06/07/2017 - 4518,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3554 - ROTARY PARK IMPROVEMENTS,Capital Outlay,2017,PARKS & RECREATION
EX,TRI-R CONSTRUCTION ,"$9,900.00",TRUCK RENTAL FOR SECTON 12 MATERIAL HAULING 17-C-001 - 7320,20170929,6536 - 6197 - 09/29/2017 - 4513,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3551 - COMMUNITY PARK IMPRVMTS,Capital Outlay,2017,PARKS & RECREATION
EX,VEGAS ELECTRIC SUPPLY COMPANY,"$14,842.88",STR THHN BLACK - 7320,20170630,1509 - 0944-504605 - 06/30/2017 - 4518,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3554 - ROTARY PARK IMPROVEMENTS,Capital Outlay,2017,PARKS & RECREATION
EX,VEGAS ELECTRIC SUPPLY COMPANY,"$6,378.25",SWITCH GEAR GRAFCX - 7320,20170630,1509 - 0944-504531 - 06/30/2017 - 4518,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3554 - ROTARY PARK IMPROVEMENTS,Capital Outlay,2017,PARKS & RECREATION
EX,VEGAS ELECTRIC SUPPLY COMPANY,"$9,942.85","THWN BLK,STRANDED BLK,XFORMER,MAIN LD-CNTR,MAIN BREAKER KIT - 7320",20170630,1509 - 0944-504755 - 06/30/2017 - 4518,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3554 - ROTARY PARK IMPROVEMENTS,Capital Outlay,2017,PARKS & RECREATION
EX,AMERICAN PAVEMENT PRESERVATION LLC,"$180,063.65",NSIP 28 TRAFFIC CONTROL AND MICRO-SURFACING APPLICATION #1 - 7340,20170412,88 - 9681 - 04/12/2017 - 4567,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6105 - ANNUAL STREET MAINTENANCE,Capital Outlay,2017,TRANSPORTATION
EX,ERGON ASPHALT & EMULSIONS INC,"$11,540.71",LMCQS-1H 3.0L AND FEDERAL ENVMT. FEE - 7340,20170612,988 - 9401642984 - 06/12/2017 - 4567,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6105 - ANNUAL STREET MAINTENANCE,Capital Outlay,2017,TRANSPORTATION
EX,ERGON ASPHALT & EMULSIONS INC,"$6,992.79","LMCQS-1H 3.0L, FEDERAL ENVMT. FEE - 7340",20170630,988 - 9401660403 - 06/30/2017 - 4567,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6105 - ANNUAL STREET MAINTENANCE,Capital Outlay,2017,TRANSPORTATION
EX,ERGON ASPHALT & EMULSIONS INC,"$11,048.70",MICRO SUFACING EMULSION FOR NSIP 28 - 7340,20170419,988 - 9401611819 - 04/19/2017 - 4567,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6105 - ANNUAL STREET MAINTENANCE,Capital Outlay,2017,TRANSPORTATION
EX,ERGON ASPHALT & EMULSIONS INC,"$11,387.18",MICRO SURFACING EMULSION FOR NSIP - 7340,20170414,988 - 9401609569 - 04/14/2017 - 4567,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6105 - ANNUAL STREET MAINTENANCE,Capital Outlay,2017,TRANSPORTATION
EX,ERGON ASPHALT & EMULSIONS INC,"$11,890.05",MICRO SURFACING EMULSION FOR NSIP - 7340,20170424,988 - 9401613205 - 04/24/2017 - 4567,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6105 - ANNUAL STREET MAINTENANCE,Capital Outlay,2017,TRANSPORTATION
EX,ERGON ASPHALT & EMULSIONS INC,"$12,992.51",MICRO SURFACING EMULSION FOR NSIP 28 - 7340,20170411,988 - 9401607578 - 04/11/2017 - 4567,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6105 - ANNUAL STREET MAINTENANCE,Capital Outlay,2017,TRANSPORTATION
EX,ERGON ASPHALT & EMULSIONS INC,"$12,238.19",MICRO SURFACING EMULSION FOR NSIP 28 - 7340,20170508,988 - 9401615648 - 05/08/2017 - 4567,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6105 - ANNUAL STREET MAINTENANCE,Capital Outlay,2017,TRANSPORTATION
EX,ERGON ASPHALT & EMULSIONS INC,"$12,155.99",MICRO SURFACING EMULSION FOR NSIP 28 - 7340,20170508,988 - 9401616497 - 05/08/2017 - 4567,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6105 - ANNUAL STREET MAINTENANCE,Capital Outlay,2017,TRANSPORTATION
EX,ERGON ASPHALT & EMULSIONS INC,"$10,502.32",MICRO SURFACING EMULSION FOR NSIP 28 - 7340,20170515,988 - 9401619746 - 05/15/2017 - 4567,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6105 - ANNUAL STREET MAINTENANCE,Capital Outlay,2017,TRANSPORTATION
EX,ERGON ASPHALT & EMULSIONS INC,"$12,238.19",MICRO SURFACING EMULSION FOR NSIP 28 - 7340,20170516,988 - 9401622591 - 05/16/2017 - 4567,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6105 - ANNUAL STREET MAINTENANCE,Capital Outlay,2017,TRANSPORTATION
EX,ERGON ASPHALT & EMULSIONS INC,"$13,147.24","MICRO SURFACING EMULSION, FEDERAL ENVMT. FEE - 7340",20170519,988 - 9401625226 - 05/19/2017 - 4567,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6105 - ANNUAL STREET MAINTENANCE,Capital Outlay,2017,TRANSPORTATION
EX,ERGON ASPHALT & EMULSIONS INC,"$12,006.09","MICRO SURFACING EMULSION, FEDERAL ENVMT. FEE - 7340",20170522,988 - 9401627721 - 05/22/2017 - 4567,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6105 - ANNUAL STREET MAINTENANCE,Capital Outlay,2017,TRANSPORTATION
EX,ERGON ASPHALT & EMULSIONS INC,"$10,443.35","MICRO SURFACING EMULSION, FEDERAL ENVMT. FEE - 7340",20170524,988 - 9401631423 - 05/24/2017 - 4567,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6105 - ANNUAL STREET MAINTENANCE,Capital Outlay,2017,TRANSPORTATION
EX,ERGON ASPHALT & EMULSIONS INC,"$12,858.82","MICRO SURFACING EMULSION, FEDERAL ENVMT. FEE - 7340",20170601,988 - 9401635946 - 06/01/2017 - 4567,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6105 - ANNUAL STREET MAINTENANCE,Capital Outlay,2017,TRANSPORTATION
EX,ERGON ASPHALT & EMULSIONS INC,"$12,991.87","MICRO SURFACING EMULSION, FEDERAL ENVMT. FEE - 7340",20170607,988 - 9401638278 - 06/07/2017 - 4567,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6105 - ANNUAL STREET MAINTENANCE,Capital Outlay,2017,TRANSPORTATION
EX,"KIMLEY-HORN & ASSOCIATES, INC.","$7,190.00","CONSULTING ENGINEERING SERVICE THROUGH APRIL 30, 2017 - 7345",20170531,15641 - 9281330 - 05/31/2017 - 4568,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6106 - TRAFFIC SIGNAL IMPROVEMNT,Capital Outlay,2017,TRANSPORTATION
EX,"KIMLEY-HORN & ASSOCIATES, INC.","$10,241.00",CONSULTING ENGINEERING SERVICES THROUGH 03/31/17 - 7345,20170426,15641 - 9196601 - 04/26/2017 - 4568,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6106 - TRAFFIC SIGNAL IMPROVEMNT,Capital Outlay,2017,TRANSPORTATION
EX,"KIMLEY-HORN & ASSOCIATES, INC.","$5,281.50","CONSULTING SERVICES FOR SR95/CORWIN SIGNAL THROUGH MAY 31, 2017 - 7345",20170630,15641 - 9460507 - 06/30/2017 - 4568,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6106 - TRAFFIC SIGNAL IMPROVEMNT,Capital Outlay,2017,TRANSPORTATION
EX,"KIMLEY-HORN & ASSOCIATES, INC.","$12,023.50",SERVICES THROUGH 06/30/17 FOR TRAFFICE SIGNAL AT CORWIN & HWY 95 - 7345,20170630,15641 - 9718251 - 06/30/2017 - 4568,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6106 - TRAFFIC SIGNAL IMPROVEMNT,Capital Outlay,2017,TRANSPORTATION
