Transaction Type,Payee/Customer/Vendor Name,Amount,Object,Transaction Description,Posting Date,Transaction ID,Fund,Dept,Div,Fund1,Dept1,Div1,Record Number,Fiscal Year
EX,NORTHWEST ARIZONA EMPLOYEE BENEFIT TRUST,"$28,738.20 ",3430,EMPLOYEE BENEFIT  - 3430,20120705,512 - NORTHWEST 070112 - 07/05/2012 - 6777,610,618,2040,610 - NORTHWEST AZ EMP BENEFIT TRUST,618 - PERS ADMIN,2040 - HUMAN RESOURCES,15,2013
RV,NOT APPLICABLE,"$8,891.79 ",413.1,CITY SALES TAX - 413.1000,20120706,2013-00000438 - 3591636,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,16,2013
EX,US BANK,"$9,655.49 ",7025,P-CARD JULY 2012 US BANK - 7025,20120706,4141 - 2013-00000084 - 07/06/2012 - 6923,101,619,9500,101 - GENERAL ,619 - GEN GOVT,9500 - GENERAL SERVICES,17,2013
RV,NOT APPLICABLE,"$20,000.00 ",447.11,RIVER REGATTA FEES - 447.1100,20120706,2013-00000133 - 3581823,218,0,0,218 - SPECIAL EVENTS,000 - GEN,0000 - GEN,18,2013
EX,DAILEY & VINCENT,"$5,000.00 ",3890,DEPOSIT PER CONTRACT - 3890,20120706,513 - 070512 - 07/06/2012 - 6996,218,650,3541,218 - SPECIAL EVENTS,650 - PARKS & REC,3541 - BLUEGRASS FESTIVAL,19,2013
PY,NOT APPLICABLE,"$9,292.19 ",1105,REGULAR FULL-TIME WAGES - 1105,20120707,2013-00000349 - 3588381,101,612,4500,101 - GENERAL ,612 - JUDICIAL,4500 - MUNICIPAL COURT,20,2013
PY,NOT APPLICABLE,"$5,251.24 ",1105,REGULAR FULL-TIME WAGES - 1105,20120707,2013-00000349 - 3588398,101,615,2500,101 - GENERAL ,615 - FIN ADMIN,2500 - BUDGET AND ACCOUNTING,21,2013
PY,NOT APPLICABLE,"$10,688.69 ",1105,REGULAR FULL-TIME WAGES - 1105,20120707,2013-00000349 - 3588413,101,616,4000,101 - GENERAL ,616 - LAW,4000 - LEGAL SERVICES,22,2013
PY,NOT APPLICABLE,"$5,095.40 ",1105,REGULAR FULL-TIME WAGES - 1105,20120707,2013-00000349 - 3588425,101,619,2050,101 - GENERAL ,619 - GEN GOVT,2050 - TECH SERVICES,23,2013
PY,NOT APPLICABLE,"$8,642.79 ",1105,REGULAR FULL-TIME WAGES - 1105,20120707,2013-00000349 - 3588477,101,621,5000,101 - GENERAL ,621 - PUBLIC SAFETY,5000 - ADMINISTRATION,24,2013
EX,NOT APPLICABLE,"$8,470.86 ",1510,HEALTH INSURANCE - 1510,20120707,2013-00002109 - 3640919,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,25,2013
PY,NOT APPLICABLE,"$10,514.34 ",1510,HEALTH INSURANCE - 1510,20120707,2013-00000349 - 3588495,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,26,2013
PY,NOT APPLICABLE,"$5,407.65 ",1140,OVERTIME WAGES - 1140,20120707,2013-00000349 - 3588483,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,27,2013
PY,NOT APPLICABLE,"$15,441.72 ",1140,OVERTIME WAGES - 1140,20120707,2013-00000349 - 3588478,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,28,2013
PY,NOT APPLICABLE,"$17,276.63 ",1535,PUBLIC SAFETY RETIREMENT - 1535,20120707,2013-00000349 - 3588546,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,29,2013
PY,NOT APPLICABLE,"$62,416.25 ",1105,REGULAR FULL-TIME WAGES - 1105,20120707,2013-00000349 - 3588590,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,30,2013
PY,NOT APPLICABLE,"$5,604.48 ",1560,WORKERS COMPENSATION - 1560,20120707,2013-00000349 - 3588567,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,31,2013
PY,NOT APPLICABLE,"$15,473.46 ",1105,REGULAR FULL-TIME WAGES - 1105,20120707,2013-00000349 - 3588652,101,621,5020,101 - GENERAL ,621 - PUBLIC SAFETY,5020 - CID,32,2013
PY,NOT APPLICABLE,"$7,399.91 ",1105,REGULAR FULL-TIME WAGES - 1105,20120707,2013-00000349 - 3588669,101,621,5030,101 - GENERAL ,621 - PUBLIC SAFETY,5030 - SUPPORT SERVICES,33,2013
PY,NOT APPLICABLE,"$14,070.64 ",1105,REGULAR FULL-TIME WAGES - 1105,20120707,2013-00000349 - 3588695,101,621,5040,101 - GENERAL ,621 - PUBLIC SAFETY,5040 - EMERGENCY SERVICES,34,2013
PY,NOT APPLICABLE,"$8,259.05 ",1105,REGULAR FULL-TIME WAGES - 1105,20120707,2013-00000349 - 3588812,101,650,3550,101 - GENERAL ,650 - PARKS & REC,3550 - PARKS MAINTENANCE,35,2013
PY,NOT APPLICABLE,"$10,342.05 ",1105,REGULAR FULL-TIME WAGES - 1105,20120707,2013-00000349 - 3588861,201,631,6100,201 - STREETS (HURF),631 - TRANSPORTATION,6100 - STREET OPERATIONS,36,2013
RV,NOT APPLICABLE,"$141,425.79 ",444.1,SEWER USER CHARGES - 444.1000,20120707,2013-00000103 - 3581076,501,0,0,501 - WASTEWATER,000 - GEN,0000 - GEN,37,2013
PY,NOT APPLICABLE,"$14,389.05 ",1105,REGULAR FULL-TIME WAGES - 1105,20120707,2013-00000349 - 3589047,501,632,6400,501 - WASTEWATER,632 - SANITATION,6400 - WASTEWATER,38,2013
RV,NOT APPLICABLE,"$6,468.74 ",440.4,INTERNAL SERVICE CHARGE - 440.4000,20120707,2013-00000349 - 3589072,604,0,0,604 - RISK MANAGEMENT,000 - GEN,0000 - GEN,39,2013
RV,NOT APPLICABLE,"$19,582.20 ",440.4,INTERNAL SERVICE CHARGE - 440.4000,20120707,2013-00000848 - 3601819,604,0,0,604 - RISK MANAGEMENT,000 - GEN,0000 - GEN,40,2013
RV,NOT APPLICABLE,"$11,945.03 ",440.4,INTERNAL SERVICE CHARGE - 440.4000,20120707,2013-00000349 - 3589186,610,0,0,610 - NORTHWEST AZ EMP BENEFIT TRUST,000 - GEN,0000 - GEN,41,2013
RV,NOT APPLICABLE,"$9,270.30 ",455.13,PRE-PAID PRINCIPAL - 455.1300,20120708,2013-00001712 - 3630146,406,0,0,406 - SID#1,000 - GEN,0000 - GEN,42,2013
EX,NOT APPLICABLE,"$32,581.24 ",7410,MACHINERY & EQUIPMENT - 7410,20120709,2013-00002414 - 3648586,241,700,5306,241 - POLICE GRANTS,700 - CAPITAL OUTLAY,5306 - JUSTICE ASSISTANCE GRANT,43,2013
EX,NORTHWEST ARIZONA EMPLOYEE BENEFIT TRUST,"$20,374.90 ",3220,EMPLOYEE BENEFIT - 3220,20120709,512 - JULY 2012 - 07/09/2012 - 6776,610,618,2040,610 - NORTHWEST AZ EMP BENEFIT TRUST,618 - PERS ADMIN,2040 - HUMAN RESOURCES,44,2013
RV,NOT APPLICABLE,"$6,796.55 ",413.1,CITY SALES TAX - 413.1000,20120710,2013-00000438 - 3591639,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,45,2013
RV,NOT APPLICABLE,"$336,577.17 ",435.11,STATE INCOME TAX - 435.1100,20120710,2013-00000276 - 3586069,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,46,2013
EX,LEAGUE OF AZ CITIES & TOWNS,"$22,334.00 ",5721,ANNUAL MEMBERSHIP DUES - 5721,20120710,1290 - FY 2012-2013 - 07/10/2012 - 1577,101,619,9500,101 - GENERAL ,619 - GEN GOVT,9500 - GENERAL SERVICES,47,2013
EX,MOHAVE COUNTY WATER AUTHORITY,"$19,000.00 ",3890,MEMBERSHIP DUES FY 2012-2013 - 3890,20120710,2313 - #12-13 BHC - 07/10/2012 - 3202,210,619,3050,210 - WATER IMPOST,619 - GEN GOVT,3050 - WATER IMPOST,48,2013
EX,ARIZONA DEPT. OF TRANSPORTATIO,"$89,157.00 ",7340,RIVERVIEW DR & N OATMAN ROAD ALIGNMENT - 7340,20120710,3003 - 212157 - 07/10/2012 - 4569,313,700,6107,313 - TRANSPORTATION,700 - CAPITAL OUTLAY,6107 - STREET RECONSTRUCTION,49,2013
EX,BLUE WATER SOUND AND LIGHTS,"$6,000.00 ",4420,DEPOSIT FOR REGATTA SOUND CONTRACT - 4420,20120711,227 - 07102012 - 07/11/2012 - 3716,218,650,3540,218 - SPECIAL EVENTS,650 - PARKS & REC,3540 - RIVER REGATTA,50,2013
EX,MOHAVE ELECTRIC COOPERATIVE,"$6,906.42 ",4110,RIVERVIEW DR PUMP STNT SEC30 - 4110,20120711,1318 - 167 0712 - 07/11/2012 - 5255,501,632,6400,501 - WASTEWATER,632 - SANITATION,6400 - WASTEWATER,51,2013
RV,NOT APPLICABLE,"$42,283.84 ",413.1,CITY SALES TAX - 413.1000,20120712,2013-00000438 - 3591641,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,52,2013
EX,US BANK,"$91,250.00 ",8010,MPC EXCISE TAX REVENUE DEBT PAYMENT - 8010,20120712,4141 - JULY 2012 2 - 07/12/2012 - 4686,401,670,3575,401 - DEBT SERVICE,670 - DEBT SERVICE,3575 - MUNICIPAL PROPERTY CORP,53,2013
EX,NOT APPLICABLE,"$47,901.56 ",8041,INTEREST PAYMENT - 8041,20120712,2013-00007915 - 3821305,401,670,3575,401 - DEBT SERVICE,670 - DEBT SERVICE,3575 - MUNICIPAL PROPERTY CORP,54,2013
EX,US BANK,"$232,500.01 ",8010,MPC EXCISE TAX REVENUE DEBT PAYMENT - 8010,20120712,4141 - JULY 2012 2 - 07/12/2012 - 5314,501,670,6400,501 - WASTEWATER,670 - DEBT SERVICE,6400 - WASTEWATER,55,2013
EX,US BANK,"$94,887.81 ",8041,MPC EXCISE TAX REVENUE DEBT PAYMENT - 8041,20120712,4141 - JULY 2012 2 - 07/12/2012 - 5315,501,670,6400,501 - WASTEWATER,670 - DEBT SERVICE,6400 - WASTEWATER,56,2013
PY,NOT APPLICABLE,"$5,161.53 ",1105,REGULAR FULL-TIME WAGES - 1105,20120713,2013-00000384 - 3589697,215,663,3566,215 - HOUSING REDEVELOPMENT,663 - REDEV AND HOUSING,3566 - HTF ADMIN,57,2013
RV,NOT APPLICABLE,"$138,991.73 ",444.1,SEWER USER CHARGES - 444.1000,20120714,2013-00000332 - 3587384,501,0,0,501 - WASTEWATER,000 - GEN,0000 - GEN,58,2013
EX,"HRO, INC.","$19,437.90 ",7030,RADIO ACCESSORIES - 7030,20120716,514 - 71-215281 - 07/16/2012 - 1763,101,621,5040,101 - GENERAL ,621 - PUBLIC SAFETY,5040 - EMERGENCY SERVICES,59,2013
RV,NOT APPLICABLE,"$5,269.49 ",455.13,PRE-PAID PRINCIPAL - 455.1300,20120716,2013-00001715 - 3630188,408,0,0,408 - SID#3,000 - GEN,0000 - GEN,60,2013
RV,NOT APPLICABLE,"$39,856.72 ",413.1,CITY SALES TAX - 413.1000,20120717,2013-00000619 - 3596441,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,61,2013
EX,"COMPUTER POWER SOLUTIONS, INC","$9,554.00 ",4343,ON-SITE GOLD PLAN PLUS - 4343,20120717,4670 - CPS26159 - 07/17/2012 - 6796,101,621,2050,101 - GENERAL ,621 - PUBLIC SAFETY,2050 - TECH SERVICES,62,2013
EX,BLUE WATER SOUND AND LIGHTS,"$7,500.00 ",4420,P A SYSTEM BALANCE - 4420,20120717,227 - 07102012 2 - 07/17/2012 - 3716,218,650,3540,218 - SPECIAL EVENTS,650 - PARKS & REC,3540 - RIVER REGATTA,63,2013
RV,NOT APPLICABLE,"$6,809.66 ",418.15,FRANCHISE TAX-REFUSE - 418.1500,20120718,2013-00000503 - 3593056,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,64,2013
RV,NOT APPLICABLE,"$8,900.00 ",447.2,SWIMMING POOL FEES - 447.2000,20120718,2013-00000500 - 3593037,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,65,2013
RV,NOT APPLICABLE,"$70,509.81 ",435.15,VEHICLE LICENSE TAX - 435.1500,20120718,2013-00000500 - 3592975,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,66,2013
RV,NOT APPLICABLE,"$283,947.22 ",435.14,HIGHWAY USER REVENUE - 435.1400,20120718,2013-00000500 - 3592977,201,0,0,201 - STREETS (HURF),000 - GEN,0000 - GEN,67,2013
RV,NOT APPLICABLE,"$24,933.41 ",431.22,INDIRECT FEDERAL GRANT - 431.2200,20120718,2013-00000500 - 3593015,211,0,3584,211 - TRANSIT,000 - GEN,3584 - TRANSIT ADOT 2012,68,2013
RV,NOT APPLICABLE,"$27,537.99 ",431.22,INDIRECT FEDERAL GRANT - 431.2200,20120718,2013-00000500 - 3593018,211,0,3584,211 - TRANSIT,000 - GEN,3584 - TRANSIT ADOT 2012,69,2013
RV,NOT APPLICABLE,"$34,300.05 ",431.22,INDIRECT FEDERAL GRANT - 431.2200,20120718,2013-00000500 - 3593014,211,0,3584,211 - TRANSIT,000 - GEN,3584 - TRANSIT ADOT 2012,70,2013
RV,NOT APPLICABLE,"$36,951.98 ",431.22,INDIRECT FEDERAL GRANT - 431.2200,20120718,2013-00000500 - 3593016,211,0,3584,211 - TRANSIT,000 - GEN,3584 - TRANSIT ADOT 2012,71,2013
RV,NOT APPLICABLE,"$9,014.63 ",431.22,INDIRECT FEDERAL GRANT - 431.2200,20120718,2013-00002496 - 3650959,241,0,0,241 - POLICE GRANTS,000 - GEN,0000 - GEN,72,2013
RV,NOT APPLICABLE,"$9,014.63 ",431.22,INDIRECT FEDERAL GRANT - 431.2200,20120718,2013-00005570 - 3749825,241,0,5306,241 - POLICE GRANTS,000 - GEN,5306 - JUSTICE ASSISTANCE GRANT,73,2013
RV,NOT APPLICABLE,"$5,917.66 ",444.1,SEWER USER CHARGES - 444.1000,20120718,2013-00002139 - 3641791,501,0,0,501 - WASTEWATER,000 - GEN,0000 - GEN,74,2013
RV,NOT APPLICABLE,"$33,632.97 ",413.1,CITY SALES TAX - 413.1000,20120719,2013-00000619 - 3596444,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,75,2013
RV,NOT APPLICABLE,"$33,632.97 ",413.1,CITY SALES TAX - 413.1000,20120719,2013-00001981 - 3636334,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,76,2013
RV,NOT APPLICABLE,"$35,494.74 ",413.1,CITY SALES TAX - 413.1000,20120719,2013-00000548 - 3593769,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,77,2013
RV,NOT APPLICABLE,"$262,382.49 ",435.13,STATE SALES TAX - 435.1300,20120720,2013-00000577 - 3594917,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,78,2013
EX,"IKON OFFICE SOLUTIONS, INC","$5,733.36 ",4440,COPIER LEASE SCHEDULE 801825 - 4440,20120720,1254 - 31834431-7 - 07/20/2012 - 6397,101,619,9500,101 - GENERAL ,619 - GEN GOVT,9500 - GENERAL SERVICES,79,2013
EX,STATE OF ARIZONA,"$5,670.00 ",4410,RIVIERA/SUNSHINE MARINA LEASE - 4410,20120720,3003 - 103930 - 07/20/2012 - 1856,101,650,3505,101 - GENERAL ,650 - PARKS & REC,3505 - RECREATION SERVICES,80,2013
PY,NOT APPLICABLE,"$18,676.26 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3597763,101,612,4500,101 - GENERAL ,612 - JUDICIAL,4500 - MUNICIPAL COURT,81,2013
PY,NOT APPLICABLE,"$5,259.90 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3597770,101,613,2000,101 - GENERAL ,613 - EXECUTIVE,2000 - CITY MANAGER,82,2013
PY,NOT APPLICABLE,"$10,087.26 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3597782,101,615,2500,101 - GENERAL ,615 - FIN ADMIN,2500 - BUDGET AND ACCOUNTING,83,2013
PY,NOT APPLICABLE,"$21,377.33 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3597799,101,616,4000,101 - GENERAL ,616 - LAW,4000 - LEGAL SERVICES,84,2013
PY,NOT APPLICABLE,"$10,190.79 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3597811,101,619,2050,101 - GENERAL ,619 - GEN GOVT,2050 - TECH SERVICES,85,2013
PY,NOT APPLICABLE,"$6,944.80 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3597822,101,619,3020,101 - GENERAL ,619 - GEN GOVT,3020 - BUILDING SAFETY,86,2013
PY,NOT APPLICABLE,"$6,054.72 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3597829,101,619,3030,101 - GENERAL ,619 - GEN GOVT,3030 - CODE ENFORCEMENT,87,2013
PY,NOT APPLICABLE,"$6,340.49 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3597835,101,619,3570,101 - GENERAL ,619 - GEN GOVT,3570 - FACILITIES MANAGEMENT,88,2013
PY,NOT APPLICABLE,"$17,300.87 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3597851,101,621,5000,101 - GENERAL ,621 - PUBLIC SAFETY,5000 - ADMINISTRATION,89,2013
PY,NOT APPLICABLE,"$18,669.59 ",1510,HEALTH INSURANCE - 1510,20120721,2013-00000712 - 3597873,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,90,2013
PY,NOT APPLICABLE,"$17,300.02 ",1140,OVERTIME WAGES - 1140,20120721,2013-00000712 - 3597857,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,91,2013
PY,NOT APPLICABLE,"$26,988.83 ",1535,PUBLIC SAFETY RETIREMENT - 1535,20120721,2013-00000712 - 3597922,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,92,2013
PY,NOT APPLICABLE,"$117,839.78 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3597963,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,93,2013
PY,NOT APPLICABLE,"$8,653.19 ",1560,WORKERS COMPENSATION - 1560,20120721,2013-00000712 - 3597942,101,621,5010,101 - GENERAL ,621 - PUBLIC SAFETY,5010 - PATROL,94,2013
PY,NOT APPLICABLE,"$5,577.82 ",1140,OVERTIME WAGES - 1140,20120721,2013-00000712 - 3597975,101,621,5020,101 - GENERAL ,621 - PUBLIC SAFETY,5020 - CID,95,2013
PY,NOT APPLICABLE,"$31,173.91 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3598025,101,621,5020,101 - GENERAL ,621 - PUBLIC SAFETY,5020 - CID,96,2013
PY,NOT APPLICABLE,"$19,188.86 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3598033,101,621,5030,101 - GENERAL ,621 - PUBLIC SAFETY,5030 - SUPPORT SERVICES,97,2013
PY,NOT APPLICABLE,"$26,306.68 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3598069,101,621,5040,101 - GENERAL ,621 - PUBLIC SAFETY,5040 - EMERGENCY SERVICES,98,2013
PY,NOT APPLICABLE,"$9,270.56 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3598081,101,641,5050,101 - GENERAL ,641 - HEALTH AND WELFARE,5050 - ANIMAL CARE AND WELFARE,99,2013
PY,NOT APPLICABLE,"$17,515.80 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3598188,101,650,3550,101 - GENERAL ,650 - PARKS & REC,3550 - PARKS MAINTENANCE,100,2013
PY,NOT APPLICABLE,"$5,650.95 ",1510,HEALTH INSURANCE - 1510,20120721,2013-00000712 - 3598237,201,631,6100,201 - STREETS (HURF),631 - TRANSPORTATION,6100 - STREET OPERATIONS,101,2013
PY,NOT APPLICABLE,"$20,684.17 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3598243,201,631,6100,201 - STREETS (HURF),631 - TRANSPORTATION,6100 - STREET OPERATIONS,102,2013
PY,NOT APPLICABLE,"$9,873.63 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3598523,211,619,3584,211 - TRANSIT,619 - GEN GOVT,3584 - TRANSIT ADOT 2012,103,2013
RV,NOT APPLICABLE,"$144,154.43 ",444.1,SEWER USER CHARGES - 444.1000,20120721,2013-00000526 - 3593397,501,0,0,501 - WASTEWATER,000 - GEN,0000 - GEN,104,2013
PY,NOT APPLICABLE,"$8,073.85 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3598413,501,615,2510,501 - WASTEWATER,615 - FIN ADMIN,2510 - BILLING AND COLLECTION,105,2013
PY,NOT APPLICABLE,"$6,570.48 ",1510,HEALTH INSURANCE - 1510,20120721,2013-00000712 - 3598433,501,632,6400,501 - WASTEWATER,632 - SANITATION,6400 - WASTEWATER,106,2013
PY,NOT APPLICABLE,"$29,423.25 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3598437,501,632,6400,501 - WASTEWATER,632 - SANITATION,6400 - WASTEWATER,107,2013
PY,NOT APPLICABLE,"$7,392.49 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3598445,501,660,6000,501 - WASTEWATER,660 - PUBLIC WORKS,6000 - ADMINISTRATION,108,2013
PY,NOT APPLICABLE,"$9,018.21 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3598452,501,660,6010,501 - WASTEWATER,660 - PUBLIC WORKS,6010 - ENGINEERING,109,2013
PY,NOT APPLICABLE,"$7,332.63 ",1105,REGULAR FULL-TIME WAGES - 1105,20120721,2013-00000712 - 3598461,601,660,6200,601 - FLEET SERVICES,660 - PUBLIC WORKS,6200 - FLEET SERVICES,110,2013
RV,NOT APPLICABLE,"$24,375.10 ",440.4,INTERNAL SERVICE CHARGE - 440.4000,20120721,2013-00000712 - 3598464,604,0,0,604 - RISK MANAGEMENT,000 - GEN,0000 - GEN,111,2013
RV,NOT APPLICABLE,"$12,035.60 ",440.4,INTERNAL SERVICE CHARGE - 440.4000,20120721,2013-00000712 - 3598569,610,0,0,610 - NORTHWEST AZ EMP BENEFIT TRUST,000 - GEN,0000 - GEN,112,2013
RV,NOT APPLICABLE,"$81,705.88 ",413.1,CITY SALES TAX - 413.1000,20120723,2013-00000813 - 3600659,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,113,2013
RV,NOT APPLICABLE,"$23,901.24 ",418,FRANCHISE TAXES - 418.0000,20120723,2013-00000610 - 3595767,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,114,2013
RV,NOT APPLICABLE,"$70,034.28 ",418,FRANCHISE TAXES - 418.0000,20120723,2013-00000610 - 3595768,101,0,0,101 - GENERAL ,000 - GEN,0000 - GEN,115,2013
RV,NOT APPLICABLE,"$13,854.98 ",455.13,PRE-PAID PRINCIPAL - 455.1300,20120723,2013-00001719 - 3630258,408,0,0,408 - SID#3,000 - GEN,0000 - GEN,116,2013
EX,MOHAVE VALLEY LANDFILL,"$6,217.82 ",4130,LANDFILL CHARGES WASTEWATER - 4130,20120723,1325 - 008699 - 07/23/2012 - 6148,501,632,6400,501 - WASTEWATER,632 - SANITATION,6400 - WASTEWATER,117,2013
