Transaction Type,Payee/Customer/Vendor Name,Amount,Object,Transaction Description,Posting Date,Transaction ID,Fund,Dept,Div,Fund1,Dept1,Div1,Record Number,Fiscal Year,Entity Name,Organization Level 1 Name,Organization Level 2 Name,Payee DBA Name,Vendor ID Code,Transaction Reference ID,Contract Name,Contract Number,Payment Method,Dept_Name,Year,Fund_Name
EX,PEORIA FORD,"$30,116.51 ",7420,2017 FORD EXPLORER MP - PATROL VEHICLE - 7420,20180104,19980 - 183255 - 01/04/2018 - 2200,101,700,5000,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,2141,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,19980,3023961,NULL,NULL,CHECK,Capital Outlay,2018,GENERAL 
EX,PEORIA FORD,"$30,116.51 ",7420,2017 FORD EXPLORER WITH POLICE PACKAGE - 7420,20170419,19980 - 177531 - 04/19/2017 - 2200,101,700,5000,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,75,2017,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,19980,3020308,NULL,2017-00000070,CHECK,Capital Outlay,2017,GENERAL 
EX,PEORIA FORD,"$30,116.51 ",7420,2017 FORD EXPLORER WITH POLICE PACKAGE - 7420,20170419,19980 - 177532 - 04/19/2017 - 2200,101,700,5000,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,76,2017,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,19980,3020308,NULL,2017-00000070,CHECK,Capital Outlay,2017,GENERAL 
EX,PEORIA FORD,"$30,116.51 ",7420,2017 FORD EXPLORER WITH POLICE PACKAGE - 7420,20170419,19980 - 177533 - 04/19/2017 - 2200,101,700,5000,101 - GENERAL ,700 - CAPITAL OUTLAY,5000 - POLICE ADMINISTRATION,77,2017,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,19980,3020308,NULL,2017-00000070,CHECK,Capital Outlay,2017,GENERAL 
EX,WAYFAIR LLC,"$5,982.49 ",7410,"DESKS, VERITICAL FILE AND CHAIRS FOR THE MORPHOBIS SYSTEM - 7410",20170606,20092 - 2464315953 - 06/06/2017 - 2203,101,700,5010,101 - GENERAL ,700 - CAPITAL OUTLAY,5010 - POLICE PATROL,493,2017,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,20092,3021023,NULL,NULL,CHECK,Capital Outlay,2017,GENERAL 
EX,CALIFORNIA PAVEMENT MAINTENANCE CO INC,"$34,995.00 ",7410,"EMULSION TANKER TRUCK WITH TRAILER, INCLUDES AS-IS TRANSFER PUMP - 7410",20171128,13166 - 5630 - 11/28/2017 - 2550,201,700,6100,201 - STREETS (HURF),700 - CAPITAL OUTLAY,6100 - STREET OPERATIONS,1805,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,13166,3023499,NULL,NULL,CHECK,Capital Outlay,2017,STREETS (HURF)
EX,CALIFORNIA PAVEMENT MAINTENANCE CO INC,"$12,689.00 ",7410,STANDARD SPREADER BOX FOR SLURRY - 7410,20180214,13166 - 5685 - 02/14/2018 - 2550,201,700,6100,201 - STREETS (HURF),700 - CAPITAL OUTLAY,6100 - STREET OPERATIONS,2418,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,13166,3024495,NULL,NULL,CHECK,Capital Outlay,2018,STREETS (HURF)
EX,EMPIRE SOURTHWEST LLC,"$65,002.00 ",7410,BROCE ROAD BROOM MODEL RCT350 BR - 7410,20171106,1191 - EMSL00050599 - 11/06/2017 - 2550,201,700,6100,201 - STREETS (HURF),700 - CAPITAL OUTLAY,6100 - STREET OPERATIONS,1709,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,EMPIRE SOUTHWEST LLC,1191,3023225,NULL,NULL,CHECK,Capital Outlay,2017,STREETS (HURF)
EX,ROYCE INDUSTRIES LC,"$7,956.27 ",7410,"PRESSURE WASHER,HDS3,9/30 EG ST NG 208V 1PH - 7410",20170822,11889 - LAS2000916 - 08/22/2017 - 2550,201,700,6100,201 - STREETS (HURF),700 - CAPITAL OUTLAY,6100 - STREET OPERATIONS,1108,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,11889,3022221,NULL,NULL,CHECK,Capital Outlay,2017,STREETS (HURF)
EX,STATE OF ARIZONA,"$10,730.70 ",7420,G4518R2T-ARBOC SOM 28-210WB - LOCAL MATCH MPD TRANSIT - 7420,20180213,3003 - MPG185993 - 02/13/2018 - 7797,211,700,3586,211 - TRANSIT,700 - CAPITAL OUTLAY,3586 - TRANSIT ADOT,2411,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,3003,3024553,NULL,2017-00000093,CHECK,Capital Outlay,2018,TRANSIT
EX,HAZLEWOOD WELDING,"$6,172.00 ",7320,MFG & INSTALL MEMORIAL RING & GLASS FRAME PROTECTOR - 7320,20170907,17004 - 10221 - 09/07/2017 - 10453,219,700,3550,219 - VETERANS MEMORIAL PARK,700 - CAPITAL OUTLAY,3550 - PARKS MAINTENANCE,1243,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,17004,3022320,NULL,NULL,CHECK,Capital Outlay,2017,VETERANS MEMORIAL PARK
EX,AZTECA CONCRETE INC,"$21,500.00 ",7321,KINDER-MORGAN DRIVEWAY - RIO LOMAS AREA DRAINAGE IMPROVEMENTS - 7321,20170606,2112 - 17-089I - 06/06/2017 - 7334,304,700,6306,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6306 - RIO LOMAS ABATEMENT,494,2017,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,2112,3020926,NULL,NULL,CHECK,Capital Outlay,2017,FLOOD CONTROL
EX,MOHAVE COUNTY,"$58,500.00 ",7321,SHARE COST OF CTP GRANT PROJECT FOR FEMA PER IGA - 7321,20171116,217 - 1006-2 - 11/16/2017 - 4297,304,700,6390,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6390 - MISC. DRAINAGE IMPRV,1736,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,217,3023347,NULL,2017-00000167,CHECK,Capital Outlay,2017,FLOOD CONTROL
EX,MUNOZ GRADING & EXCAVATING LLC,"$10,340.41 ",7321,REPAIR OF SEVERAL DRAINAGE SPILLWAYS - PROJECT 000042 - 7321,20171120,1255 - 102717 - 11/20/2017 - 4297,304,700,6390,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6390 - MISC. DRAINAGE IMPRV,1784,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,1255,3023430,NULL,NULL,CHECK,Capital Outlay,2017,FLOOD CONTROL
EX,NOT APPLICABLE,"$48,844.00 ",7321,DRAINAGE IMPROVEMENTS - 7321,20170927,2018-00002327 - 5034927,304,700,6306,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6306 - RIO LOMAS ABATEMENT,1372,2018,CITY OF BULLHEAD CITY,BUDGET TRANSFER,NULL,NULL,N/A,NULL,NULL,NULL,NULL,Capital Outlay,2017,FLOOD CONTROL
EX,NOT APPLICABLE,"$48,844.00 ",7321,DRAINAGE IMPROVEMENTS - 7321,20170927,2018-00002413 - 5036958,304,700,6390,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6390 - MISC. DRAINAGE IMPRV,1373,2018,CITY OF BULLHEAD CITY,BUDGET TRANSFER,NULL,NULL,N/A,NULL,NULL,NULL,NULL,Capital Outlay,2017,FLOOD CONTROL
EX,STEWART CONCRETE & BOBCAT LLC,"$26,902.00 ",7321,CONCRETE CHANNEL IMPROVEMENTS - NATURE CENTER DRAINAGE - 7321,20170906,18946 - 3807 - 09/06/2017 - 7334,304,700,6306,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6306 - RIO LOMAS ABATEMENT,1242,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,18946,3022357,NULL,NULL,CHECK,Capital Outlay,2017,FLOOD CONTROL
EX,STEWART CONCRETE & BOBCAT LLC,"$15,942.00 ",7321,CONCRETE CHANNEL IMPROVEMENTS - SOUTH KYLE CHANNEL - 7321,20170906,18946 - 3806 - 09/06/2017 - 7334,304,700,6306,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6306 - RIO LOMAS ABATEMENT,1241,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,18946,3022357,NULL,NULL,CHECK,Capital Outlay,2017,FLOOD CONTROL
EX,TRI-R CONSTRUCTION ,"$15,675.00 ",7321,CONSTRUCTION OF BULLHEAD PARKWAY SEDIMENT BASINS & SLOPE REPAIR - 7321,20180305,6536 - 6233 - 03/05/2018 - 4297,304,700,6390,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6390 - MISC. DRAINAGE IMPRV,2549,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,6536,3024845,NULL,NULL,CHECK,Capital Outlay,2018,FLOOD CONTROL
EX,"TURNQUIST EXCAVATING, INC","$10,450.00 ",7321,FOX WASH CHANNEL - CLEAN OUT & RESHAPE - 7321,20170823,13520 - 2016688 - 08/23/2017 - 4297,304,700,6390,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6390 - MISC. DRAINAGE IMPRV,1114,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,13520,3022145,NULL,NULL,CHECK,Capital Outlay,2017,FLOOD CONTROL
EX,"TURNQUIST EXCAVATING, INC","$6,000.00 ",7321,RIO LOMAS DRAINAGE/SOUTH KYLE CHANNEL - FINAL INVOICE - 7321,20171010,13520 - 2016710 - 10/10/2017 - 7334,304,700,6306,304 - FLOOD CONTROL,700 - CAPITAL OUTLAY,6306 - RIO LOMAS ABATEMENT,1505,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,13520,3022850,NULL,NULL,CHECK,Capital Outlay,2017,FLOOD CONTROL
EX,ALTERNATIVE LED,"$6,780.00 ",7320,50% DEPOSIT ON ROTARY PARK PICKLEBALL COURTS 17-C-003 - 7320,20170912,20242 - 5482 - 09/12/2017 - 4518,312,700,3554,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3554 - ROTARY PARK IMPROVEMENTS,1295,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,20242,3022377,NULL,NULL,CHECK,Capital Outlay,2017,PARKS & RECREATION
EX,ALTERNATIVE LED,"$6,780.00 ",7320,BALANCE DUE ON ROTARY PARK PICKLEBALL COURTS 17-C-003 - 7320,20171102,20242 - 5482-FINAL - 11/02/2017 - 4518,312,700,3554,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3554 - ROTARY PARK IMPROVEMENTS,1659,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,20242,3023090,NULL,NULL,CHECK,Capital Outlay,2017,PARKS & RECREATION
EX,"AMERICAN FENCE COMPANY OF ARIZONA, INC.","$63,750.00 ",7320,INSTALLATION OF GUARD RAIL PER CRNC CONTRACT AGREEMENT - 7320,20180307,20316 - 2050435 - 03/07/2018 - 7162,312,700,3557,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3557 - COLORADO RIVER NATURE CENTER IMP,2554,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,20316,3024766,NULL,2018-00000089,CHECK,Capital Outlay,2018,PARKS & RECREATION
EX,CEMEX CONSTRUCTION MATERIALS,"$8,121.42 ",7320,4000PSI #57 25% FA FLOW CONCRETE FOR PICKLEBALL COURTS - 7320,20171012,4551 - 9436438066 - 10/12/2017 - 4518,312,700,3554,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3554 - ROTARY PARK IMPROVEMENTS,1510,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,4551,3022795,NULL,NULL,CHECK,Capital Outlay,2017,PARKS & RECREATION
EX,CEMEX CONSTRUCTION MATERIALS,"$8,875.68 ",7320,CONCRETE FOR ROTARY PARK PICKLEBALL COURTS - 7320,20171004,4551 - 9436400061 - 10/04/2017 - 4518,312,700,3554,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3554 - ROTARY PARK IMPROVEMENTS,1449,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,4551,3022704,NULL,NULL,CHECK,Capital Outlay,2017,PARKS & RECREATION
EX,COMMUNITY PRIDE ADVOCATES,"$80,000.00 ",7320,GARY KEITH PARK IMPROVEMENTS DEVELOPMENT 16-C-004 - 7320,20170913,9053 - 090717 - 09/13/2017 - 4514,312,700,3552,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3552 - GARY KEITH PARK IMPRVMTS,1296,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,9053,3022395,NULL,NULL,CHECK,Capital Outlay,2017,PARKS & RECREATION
EX,EAGLE MASONRY & FENCE INC,"$16,909.23 ",7320,ROTARY PARK PICKLEBALL COURTS 17-C-003 - 7320,20171024,19595 - 4022 - 10/24/2017 - 4518,312,700,3554,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3554 - ROTARY PARK IMPROVEMENTS,1578,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,19595,3022989,NULL,NULL,CHECK,Capital Outlay,2017,PARKS & RECREATION
EX,"HIMES CONSULTING, LLC","$14,100.00 ",7320,"DELINEATION, ARCHAEOLOGICAL REPRT, BIOLOGICAL EVAL 17-C-001 - 7320",20171205,19565 - 1716 - 12/05/2017 - 4513,312,700,3551,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3551 - COMMUNITY PARK IMPRVMTS,1918,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,19565,3023613,NULL,2018-00000062,CHECK,Capital Outlay,2017,PARKS & RECREATION
EX,LOPEZ CONSTRUCTION LLC,"$8,742.50 ",7320,POURED REMAINING HALF OF PICKLEBALL COURT - 17C-003 - 7320,20171106,20241 - 1341 - 11/06/2017 - 4518,312,700,3554,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3554 - ROTARY PARK IMPROVEMENTS,1708,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,20241,3023238,NULL,NULL,CHECK,Capital Outlay,2017,PARKS & RECREATION
EX,LOPEZ CONSTRUCTION LLC,"$8,742.50 ",7320,ROTARY PARK PICKLEBALL COURTS - 1ST DRAW  - 7320,20170927,20241 - 1339 - 09/27/2017 - 4518,312,700,3554,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3554 - ROTARY PARK IMPROVEMENTS,1371,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,20241,3022635,NULL,NULL,CHECK,Capital Outlay,2017,PARKS & RECREATION
EX,MERTENS HEAVY EQUIPMENT REPAIR,"$14,395.60 ",7320,CAT D8N DOZER  RENTAL FOR 08/16-09/13/17 - 7320,20171017,7441 - 100776 - 10/17/2017 - 4513,312,700,3551,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3551 - COMMUNITY PARK IMPRVMTS,1522,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,7441,3022928,NULL,NULL,CHECK,Capital Outlay,2017,PARKS & RECREATION
EX,MERTENS HEAVY EQUIPMENT REPAIR,"$5,792.50 ",7320,CAT D8N DOZER RENTAL FOR 09/14-09/20/17 - 7320,20171025,7441 - 100776A - 10/25/2017 - 4513,312,700,3551,312 - PARKS & RECREATION,700 - CAPITAL OUTLAY,3551 - COMMUNITY PARK IMPRVMTS,1583,2018,CITY OF BULLHEAD CITY,FINANCE,NULL,NULL,7441,3023014,NULL,NULL,CHECK,Capital Outlay,2017,PARKS & RECREATION
