Account Number,Fund Number,Fund Name,Fund Group,Department,Division,Account Description,Sub Account Description,Element Description,Object Description,Year,Amount
110-0000-365.20-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,GIFTS,,2011,$0
110-0000-392.20-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,SALE OF SURPLUS PROPERTY,,2011,$0
110-0000-392.50-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,COPPER CAFE,,2011,"$6,000"
110-0000-395.30-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2011,"$7,000"
110-0000-395.40-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OVER - SHORT,,2011,$0
120-0000-300.00-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2011,$0
120-0000-311.10-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2011,"$2,594,680"
120-0000-315.20-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,TAXES,INCOME TAXES,CORP PERS REPLACEMENT TAX,,2011,"$188,765"
120-0000-334.75-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,IDOT REIMBURSEMENT,,2011,"$24,000"
120-0000-334.90-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,OTHER FED/STATE GRANTS,,2011,$0
120-0000-346.10-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CEMETERY,AT NEED SALES,,2011,"$28,647"
120-0000-346.20-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CEMETERY,BURIALS,,2011,"$88,751"
120-0000-346.30-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CEMETERY,FOUNDATIONS,,2011,"$13,380"
120-0000-346.40-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CEMETERY,MARKER SALES,,2011,"$15,929"
120-0000-346.50-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CEMETERY,GRAVE DECORATIONS,,2011,"$14,780"
120-0000-346.60-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CEMETERY,PRE-NEED SALES,,2011,"$38,932"
120-0000-346.70-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CEMETERY,OTHER FEES,,2011,"$3,000"
120-0000-346.80-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CEMETERY,PERPETUAL CARE,,2011,"$13,786"
120-0000-348.10-05,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,OTHER PROGRAMS,TENNIS,2011,"$8,550"
120-0000-348.10-10,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,OTHER PROGRAMS,GREENVALLEY SPORTS,2011,"$43,980"
120-0000-348.10-15,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,OTHER PROGRAMS,ADULT SPORTS,2011,"$25,840"
120-0000-348.10-20,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,OTHER PROGRAMS,YOUTH SPORTS,2011,"$40,590"
120-0000-348.10-25,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,OTHER PROGRAMS,SPECIAL EVENTS,2011,"$23,400"
120-0000-348.10-30,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,OTHER PROGRAMS,SPECIALTY CLASSES,2011,"$3,150"
120-0000-348.10-35,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,OTHER PROGRAMS,THE CELLAR,2011,"$9,400"
120-0000-348.10-40,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,OTHER PROGRAMS,ACTIVITY CENTER,2011,$0
120-0000-348.10-60,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,OTHER PROGRAMS,NATIONAL TOURNAMENTS,2011,$0
120-0000-348.10-65,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,OTHER PROGRAMS,STATE SOFTBALL TOURNAMENT,2011,"$5,750"
120-0000-348.60-01,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,POOL,LOCKERS,2011,$150
120-0000-348.60-02,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,POOL,LESSONS,2011,"$9,250"
120-0000-348.60-03,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,POOL,PASSES/COUPONS,2011,"$6,900"
120-0000-348.60-04,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,POOL,RENTAL,2011,"$4,980"
120-0000-348.60-05,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,POOL,POOL CONCESSIONS,2011,"$30,000"
120-0000-348.60-06,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,POOL,ADMISSIONS,2011,"$97,000"
120-0000-348.60-08,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,POOL,OTHER,2011,$750
120-0000-361.10-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$0
120-0000-361.20-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2011,$0
120-0000-361.50-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2011,$0
120-0000-363.15-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,FACILITY RENTAL,,2011,"$48,130"
120-0000-363.25-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,ANTENNA LEASE AGREEMENTS,,2011,$0
120-0000-363.30-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,MARINA RENTAL,,2011,"$15,000"
120-0000-363.40-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,CAPTAIN'S TABLE,,2011,"$43,200"
120-0000-364.10-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONCESSION/COMMISSIONS,GREENVALLEY CONCESSIONS,,2011,"$150,000"
120-0000-365.36-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,OTHER GIFTS,,2011,"$2,550"
120-0000-391.10-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM GENERAL,,2011,"$150,000"
120-0000-391.14-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM PARK GIFT FUND,,2011,$0
120-0000-391.15-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM TOURISM FUND,,2011,"$65,000"
120-0000-395.20-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,DAMAGE TO CITY PROPERTY,,2011,$0
120-0000-395.30-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2011,$0
120-0000-395.40-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OVER - SHORT,,2011,$0
120-0000-395.61-01,120,PARK FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,SPECIAL EVENT SERVICES,EASTER EGG HUNT,2011,"$1,000"
220-0000-300.00-00,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2011,"$930,190"
220-0000-334.90-00,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,OTHER FED/STATE GRANTS,,2011,"$1,226,950"
220-0000-336.10-00,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,STATE SHARED REVENUES,MOTOR FUEL TAX,,2011,"$1,100,000"
220-0000-336.20-00,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,STATE SHARED REVENUES,MFT FAUS,,2011,$0
220-0000-361.10-00,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$0
220-0000-361.20-00,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2011,$0
220-0000-361.50-00,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2011,$0
220-0000-361.60-00,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INT ON T-BILLS/T-NOTES,,2011,$0
220-0000-391.10-00,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM GENERAL,,2011,$0
220-0000-395.30-00,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2011,$0
230-0000-300.00-00,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2011,"$250,000"
230-0000-331.10-00,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,FEDERAL GRANT,COMM DEV BLOCK GRANT,,2011,"$818,725"
230-0000-392.30-00,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,SALE OF CITY LAND/BLDGS,,2011,$0
230-0000-395.30-00,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2011,$0
231-0000-300.00-00,231,REVOLVING LOAN PROGRAM,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2011,"$174,025"
231-0000-361.51-00,231,REVOLVING LOAN PROGRAM,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON LOANS,,2011,"$3,970"
231-0000-371.10-00,231,REVOLVING LOAN PROGRAM,SPECIAL REVENUE FUNDS,,,LOAN PAYMENTS,LOAN REPAYMENT OF PRINCIP,REPAY ON LOANS,,2011,"$17,005"
231-0000-395.30-00,231,REVOLVING LOAN PROGRAM,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2011,$0
234-0000-300.00-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2011,"$754,000"
234-0000-311.10-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2011,"$2,757,975"
234-0000-313.10-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,TAXES,SALES TAX,SALES TAX,,2011,"$459,850"
234-0000-334.90-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,OTHER FED/STATE GRANTS,,2011,$0
234-0000-361.10-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$0
234-0000-361.30-01,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2011,"$1,000"
234-0000-361.50-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2011,$0
234-0000-361.51-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON LOANS,,2011,"$100,000"
234-0000-363.10-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,LAND RENTAL,,2011,"$64,500"
234-0000-363.20-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,BUILDING RENTAL,,2011,$0
234-0000-371.30-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,LOAN PAYMENTS,LOAN REPAYMENT OF PRINCIP,TIF REVOLVING LOANS,,2011,$0
234-0000-391.10-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM GENERAL,,2011,"$75,000"
234-0000-395.30-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2011,$0
235-0000-300.00-00,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2011,$0
235-0000-311.10-00,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2011,"$237,840"
235-0000-311.10-10,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,SPECIAL DISTRIBUTIONS,2011,$0
235-0000-361.10-00,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$0
235-0000-361.30-01,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2011,$0
235-0000-361.51-00,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON LOANS,,2011,$0
235-0000-393.10-00,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,PROCEEDS OF GLT DEBT,G.O. BOND PROCEEDS,,2011,$0
235-0000-395.30-00,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2011,"$2,497,880"
236-0000-311.10-00,236,TIF #3 OLD HIGH SCHOOL,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2011,"$51,150"
236-0000-361.10-00,236,TIF #3 OLD HIGH SCHOOL,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$0
236-0000-361.30-01,236,TIF #3 OLD HIGH SCHOOL,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2011,$0
237-0000-311.10-00,237,TIF #4 AUTUMN TRAILS,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2011,"$100,000"
237-0000-361.10-00,237,TIF #4 AUTUMN TRAILS,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$0
237-0000-361.30-01,237,TIF #4 AUTUMN TRAILS,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2011,$0
237-0000-395.30-00,237,TIF #4 AUTUMN TRAILS,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2011,$0
238-0000-331.30-00,238,HOME BUYER GRANT,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,FEDERAL GRANT,IHDA GRANT,,2011,"$221,610"
240-0000-331.10-00,240,CDBG-R,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,FEDERAL GRANT,COMM DEV BLOCK GRANT,,2011,$0
240-0000-331.60-00,240,CDBG-R,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,FEDERAL GRANT,HOUSING REHAB GRANT,,2011,"$46,345"
243-0000-311.10-00,243,TIF #5 KONE CENTRE,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2011,$0
243-0000-361.10-00,243,TIF #5 KONE CENTRE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$0
243-0000-361.30-01,243,TIF #5 KONE CENTRE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2011,$0
243-0000-395.30-00,243,TIF #5 KONE CENTRE,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2011,$0
244-0000-311.10-00,244,TIF #6 MOLINE PL PH 2 & 3,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2011,$0
244-0000-361.10-00,244,TIF #6 MOLINE PL PH 2 & 3,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2011,$0
