Account Number,Fund Number,Fund,Group Fund,Department,Division,Basic Activity,Sub Activity,Element,Account Name,Year,Amount,,,,,,,,,,,,,,
016-0729-492.05-10,16,SMALL RENTAL PROP PROG,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,TRAVEL ON CITY BUSINESS,2011,$0,,,,,,,,,,,,,,
016-0729-492.05-55,16,SMALL RENTAL PROP PROG,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,LIABILITY INS COVERAGE,2011,$0,,,,,,,,,,,,,,
016-0729-492.10-71,16,SMALL RENTAL PROP PROG,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2010-2012,REHAB ACTIVITY,2011,"$125,000",,,,,,,,,,,,,,
016-0729-492.28-71,16,SMALL RENTAL PROP PROG,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2008,REHAB ACTIVITY,2011,$0,,,,,,,,,,,,,,
016-0729-492.29-71,16,SMALL RENTAL PROP PROG,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2009,SERVICE DELIVERY,2011,$0,,,,,,,,,,,,,,
017-0729-492.01-01,17,SFOOR GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,SALARIES/WAGES,FULL TIME SALARIES,2011,$0,,,,,,,,,,,,,,
017-0729-492.01-02,17,SFOOR GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,SALARIES/WAGES,PART TIME SALARIES,2011,$0,,,,,,,,,,,,,,
017-0729-492.02-30,17,SFOOR GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,FICA/MEDICARE,2011,$0,,,,,,,,,,,,,,
017-0729-492.02-35,17,SFOOR GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,RETIREMENT - IMRF,2011,$0,,,,,,,,,,,,,,
017-0729-492.02-50,17,SFOOR GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2011,$0,,,,,,,,,,,,,,
017-0729-492.02-55,17,SFOOR GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2011,$105,,,,,,,,,,,,,,
017-0729-492.03-11,17,SFOOR GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,GRANT ADMINISTRATION,2011,"$18,165",,,,,,,,,,,,,,
017-0729-492.05-55,17,SFOOR GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,LIABILITY INS COVERAGE,2011,$0,,,,,,,,,,,,,,
017-0729-492.20-01,17,SFOOR GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2020,ADMINISTRATIVE EXPENSES,2011,$0,,,,,,,,,,,,,,
017-0729-492.20-77,17,SFOOR GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2020,REHABILITATION PROJECTS,2011,"$102,000",,,,,,,,,,,,,,
017-0729-492.28-71,17,SFOOR GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2008,REHAB ACTIVITY,2011,$0,,,,,,,,,,,,,,
018-9903-418.03-61,18,TOURISM FUND,SPECIAL REVENUE FUNDS,NON DEPARTMENTAL,TOURISM PROMOTION,GENERAL GOVERNMENT,SPECIAL PROJECTS,PROFESSIONAL SERVICES,PAYMENT TO AGENCIES,2011,"$267,380",,,,,,,,,,,,,,
018-9903-418.03-64,18,TOURISM FUND,SPECIAL REVENUE FUNDS,NON DEPARTMENTAL,TOURISM PROMOTION,GENERAL GOVERNMENT,SPECIAL PROJECTS,PROFESSIONAL SERVICES,TRANSFER TO C.C. RESERVE,2011,$0,,,,,,,,,,,,,,
018-9903-418.04-15,18,TOURISM FUND,SPECIAL REVENUE FUNDS,NON DEPARTMENTAL,TOURISM PROMOTION,GENERAL GOVERNMENT,SPECIAL PROJECTS,PROPERTY SERVICES,RENTAL EXPENSE,2011,"$13,225",,,,,,,,,,,,,,
018-9903-418.06-30,18,TOURISM FUND,SPECIAL REVENUE FUNDS,NON DEPARTMENTAL,TOURISM PROMOTION,GENERAL GOVERNMENT,SPECIAL PROJECTS,SUPPLIES,OPERATNG SUPPLIES,2011,$0,,,,,,,,,,,,,,
018-9903-418.09-25,18,TOURISM FUND,SPECIAL REVENUE FUNDS,NON DEPARTMENTAL,TOURISM PROMOTION,GENERAL GOVERNMENT,SPECIAL PROJECTS,OTHER OBJECTS,BAD DEBT EXPENSE,2011,$0,,,,,,,,,,,,,,
018-9903-418.10-10,18,TOURISM FUND,SPECIAL REVENUE FUNDS,NON DEPARTMENTAL,TOURISM PROMOTION,GENERAL GOVERNMENT,SPECIAL PROJECTS,INTERFUND TRANSFERS,TRANSFER TO GENERAL,2011,"$371,855",,,,,,,,,,,,,,
018-9903-418.10-12,18,TOURISM FUND,SPECIAL REVENUE FUNDS,NON DEPARTMENTAL,TOURISM PROMOTION,GENERAL GOVERNMENT,SPECIAL PROJECTS,INTERFUND TRANSFERS,TRANSFER TO PARK FUND,2011,"$65,000",,,,,,,,,,,,,,
018-9903-418.10-99,18,TOURISM FUND,SPECIAL REVENUE FUNDS,NON DEPARTMENTAL,TOURISM PROMOTION,GENERAL GOVERNMENT,SPECIAL PROJECTS,INTERFUND TRANSFERS,TRANSFER TO RESERVES,2011,"$75,470",,,,,,,,,,,,,,
018-9906-418.04-16,18,TOURISM FUND,SPECIAL REVENUE FUNDS,NON DEPARTMENTAL,DEPOT PROJECT,GENERAL GOVERNMENT,SPECIAL PROJECTS,PROPERTY SERVICES,UTILITY SERVICE,2011,"$3,050",,,,,,,,,,,,,,
018-9906-418.05-55,18,TOURISM FUND,SPECIAL REVENUE FUNDS,NON DEPARTMENTAL,DEPOT PROJECT,GENERAL GOVERNMENT,SPECIAL PROJECTS,OTHER SERVICES,LIABILITY INS COVERAGE,2011,"$4,500",,,,,,,,,,,,,,
019-0729-492.01-01,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,SALARIES/WAGES,FULL TIME SALARIES,2011,$0,,,,,,,,,,,,,,
019-0729-492.02-30,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,FICA/MEDICARE,2011,$0,,,,,,,,,,,,,,
019-0729-492.02-35,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,RETIREMENT - IMRF,2011,$0,,,,,,,,,,,,,,
019-0729-492.02-50,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2011,$0,,,,,,,,,,,,,,
019-0729-492.02-55,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2011,"$4,500",,,,,,,,,,,,,,
019-0729-492.03-01,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,RELOCATION-ROCK ISLAND,2011,"$8,000",,,,,,,,,,,,,,
019-0729-492.03-02,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,RELOCATION,2011,"$8,000",,,,,,,,,,,,,,
019-0729-492.03-03,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,RELOCATION-RI ECON GROWTH,2011,"$6,000",,,,,,,,,,,,,,
019-0729-492.03-05,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,RELOCATION-CITY OF MOLINE,2011,"$30,000",,,,,,,,,,,,,,
019-0729-492.03-11,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,GRANT ADMINISTRATION,2011,"$41,325",,,,,,,,,,,,,,
019-0729-492.03-21,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,SEASONAL EMPLOYMENT,2011,$0,,,,,,,,,,,,,,
019-0729-492.03-22,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,PROFESSIONAL/TECHNICAL,2011,"$6,000",,,,,,,,,,,,,,
019-0729-492.03-86,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,CONTRACTOR INSURANCE,2011,"$3,500",,,,,,,,,,,,,,
019-0729-492.05-02,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,PRINTING,2011,"$1,000",,,,,,,,,,,,,,
019-0729-492.05-04,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,POSTAGE/SHIPPING,2011,$0,,,,,,,,,,,,,,
019-0729-492.05-05,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,MEMBERSHIP/PUBLICATION,2011,$500,,,,,,,,,,,,,,
019-0729-492.05-06,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,ADVERTISING/PROMOTIONAL,2011,"$1,000",,,,,,,,,,,,,,
019-0729-492.05-10,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,TRAVEL ON CITY BUSINESS,2011,$100,,,,,,,,,,,,,,
019-0729-492.05-55,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,LIABILITY INS COVERAGE,2011,$605,,,,,,,,,,,,,,
019-0729-492.06-30,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,SUPPLIES,OPERATING EQUIPMENT,2011,"$1,500",,,,,,,,,,,,,,
019-0729-492.07-50,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,CAPITAL EXPENDITURES,OTHER CAPITAL EQUIPMENT,2011,"$6,500",,,,,,,,,,,,,,
019-0729-492.29-11,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2009,ROCK ISLAND,2011,"$80,500",,,,,,,,,,,,,,
019-0729-492.29-12,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2009,PROJECT NOW,2011,"$115,000",,,,,,,,,,,,,,
019-0729-492.29-13,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2009,RI ECONOMIC GROWTH,2011,"$218,500",,,,,,,,,,,,,,
019-0729-492.29-14,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2009,RI COUNTY HEALTH DEPT,2011,"$26,400",,,,,,,,,,,,,,
019-0729-492.29-15,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2009,CITY OF MOLINE,2011,"$253,000",,,,,,,,,,,,,,
019-0729-492.29-74,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2009,LEAD REMEDIAL ACTIVITY,2011,"$8,000",,,,,,,,,,,,,,
019-0729-492.29-80,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2009,REMEDIAL FOR ROCK ISLAND,2011,"$2,000",,,,,,,,,,,,,,
019-0729-492.29-81,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2009,REMEDIAL FOR PROJECT NOW,2011,"$2,000",,,,,,,,,,,,,,
019-0729-492.29-82,19,LEAD HAZARD GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2009,REMEDIAL FOR RIEGC,2011,"$4,000",,,,,,,,,,,,,,
025-0714-492.02-55,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY DEV GRANTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2011,$0,,,,,,,,,,,,,,
025-0731-492.02-55,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 ADMINISTRATION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2011,"$7,500",,,,,,,,,,,,,,
025-0731-492.03-11,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 ADMINISTRATION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,GRANT ADMINISTRATION,2011,"$44,820",,,,,,,,,,,,,,
025-0731-492.03-22,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 ADMINISTRATION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,PROFESSIONAL/TECHNICAL,2011,"$6,000",,,,,,,,,,,,,,
025-0731-492.04-15,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 ADMINISTRATION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROPERTY SERVICES,RENTAL EXPENSE,2011,$500,,,,,,,,,,,,,,
025-0731-492.04-40,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 ADMINISTRATION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROPERTY SERVICES,TAXES,2011,$0,,,,,,,,,,,,,,
025-0731-492.05-02,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 ADMINISTRATION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,PRINTING,2011,$0,,,,,,,,,,,,,,
025-0731-492.05-03,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 ADMINISTRATION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,TELECOMMUNICATIONS,2011,"$1,000",,,,,,,,,,,,,,
025-0731-492.05-04,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 ADMINISTRATION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,POSTAGE/SHIPPING,2011,$0,,,,,,,,,,,,,,
025-0731-492.05-06,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 ADMINISTRATION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,ADVERTISING/PROMOTIONAL,2011,"$1,000",,,,,,,,,,,,,,
025-0731-492.05-55,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 ADMINISTRATION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,OTHER SERVICES,LIABILITY INS COVERAGE,2011,"$1,190",,,,,,,,,,,,,,
025-0731-492.06-01,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 ADMINISTRATION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,SUPPLIES,OFFICE SUPPLIES,2011,$0,,,,,,,,,,,,,,
025-0731-492.06-30,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 ADMINISTRATION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,SUPPLIES,OPERATING EQUIPMENT,2011,$0,,,,,,,,,,,,,,
025-0731-492.06-31,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 ADMINISTRATION,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,SUPPLIES,SUPPLIES & MATERIALS,2011,"$3,000",,,,,,,,,,,,,,
025-0732-492.01-01,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,SALARIES/WAGES,FULL TIME SALARIES,2011,$0,,,,,,,,,,,,,,
025-0732-492.02-30,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,FICA/MEDICARE,2011,$0,,,,,,,,,,,,,,
025-0732-492.02-35,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,RETIREMENT - IMRF,2011,$0,,,,,,,,,,,,,,
025-0732-492.02-50,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2011,$0,,,,,,,,,,,,,,
025-0732-492.02-55,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2011,$0,,,,,,,,,,,,,,
025-0732-492.03-11,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,GRANT ADMINISTRATION,2011,"$39,885",,,,,,,,,,,,,,
025-0732-492.03-15,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,OTHER (REAL ESTATE RFP),2011,$0,,,,,,,,,,,,,,
025-0732-492.03-22,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROFESSIONAL SERVICES,PROFESSIONAL/TECHNICAL,2011,"$100,000",,,,,,,,,,,,,,
025-0732-492.04-16,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROPERTY SERVICES,UTILITY SERVICES,2011,"$1,000",,,,,,,,,,,,,,
025-0732-492.04-25,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROPERTY SERVICES,CONTRACTUAL REPAIRS,2011,"$1,900,000",,,,,,,,,,,,,,
025-0732-492.04-35,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,NSP2 PURCH/REHAB,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,PROPERTY SERVICES,SOFT COSTS,2011,"$320,000",,,,,,,,,,,,,,
