Hospital,Multi-Acute System,Cohort,Zip Code,IdOrgHosp,Full City and State,City/Town,State,County,Hospital Specific Discharges From a ZIP Code                     (A),Total Hospital Discharges                  (B),Total Discharges for ZIP Code                  (C),ZIP Code Level Discharges as a % of Total Hospital Discharges                        (=A/B),Hospital Specific Discharges From a ZIP Code as a % of Total ZIP Code Discharges                   (=A/C),Hospital Size by Discharges,Hospital Type,Hospital Size by Total Revenue
Anna Jaques Hospital,Not Applicable,Community Hospital,01844,1,"Methuen, MA",Methuen,MA,Essex County,45,7107,6162,0.006331786,0.007302824,"1,000-9,999",Community Hospital,$100M-$250M
Anna Jaques Hospital,Not Applicable,Community Hospital,01915,1,"Beverly, MA",Beverly,MA,Essex County,45,7107,5865,0.006331786,0.007672634,"1,000-9,999",Community Hospital,$100M-$250M
Anna Jaques Hospital,Not Applicable,Community Hospital,01923,1,"Danvers, MA",Danvers,MA,Essex County,40,7107,4028,0.005628254,0.009930487,"1,000-9,999",Community Hospital,$100M-$250M
Anna Jaques Hospital,Not Applicable,Community Hospital,01845,1,"North Andover, MA",North Andover,MA,Essex County,37,7107,3158,0.005206135,0.011716276,"1,000-9,999",Community Hospital,$100M-$250M
Anna Jaques Hospital,Not Applicable,Community Hospital,01960,1,"Peabody, MA",Peabody,MA,Essex County,36,7107,7599,0.005065428,0.004737465,"1,000-9,999",Community Hospital,$100M-$250M
Athol Hospital,Heywood Healthcare,"Community, High Public Payer",01331,2,"Athol, MA",Athol,MA,Worcester County,363,642,1928,0.565420561,0.188278008,"Less than 1,000",Community High Public Payer Hospital,Less than $50M
Athol Hospital,Heywood Healthcare,"Community, High Public Payer",01364,2,"Orange, MA",Orange,MA,Franklin County,158,642,953,0.246105919,0.165792235,"Less than 1,000",Community High Public Payer Hospital,Less than $50M
Athol Hospital,Heywood Healthcare,"Community, High Public Payer",01440,2,"Gardner, MA",Gardner,MA,Worcester County,43,642,2612,0.066978193,0.016462481,"Less than 1,000",Community High Public Payer Hospital,Less than $50M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01109,4,"Springfield, MA",Springfield,MA,Hampden County,2711,41608,4253,0.065155739,0.637432401,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01108,4,"Springfield, MA",Springfield,MA,Hampden County,2337,41608,3777,0.056167083,0.618745036,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01104,4,"Springfield, MA",Springfield,MA,Hampden County,2149,41608,3556,0.051648721,0.604330709,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01089,4,"West Springfield, MA",West Springfield,MA,Hampden County,2066,41608,3651,0.049653913,0.565872364,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01020,4,"Chicopee, MA",Chicopee,MA,Hampden County,2024,41608,4081,0.048644491,0.495956873,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01040,4,"Holyoke, MA",Holyoke,MA,Hampden County,2004,41608,6418,0.048163815,0.312246806,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01085,4,"Westfield, MA",Westfield,MA,Hampden County,1785,41608,4443,0.042900404,0.401755571,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01013,4,"Chicopee, MA",Chicopee,MA,Hampden County,1697,41608,3151,0.040785426,0.538559188,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01001,4,"Agawam, MA",Agawam,MA,Hampden County,1482,41608,2504,0.03561815,0.591853035,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01028,4,"East Longmeadow, MA",East Longmeadow,MA,Hampden County,1358,41608,2058,0.032637954,0.659863946,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01056,4,"Ludlow, MA",Ludlow,MA,Hampden County,1357,41608,2228,0.03261392,0.609066427,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01105,4,"Springfield, MA",Springfield,MA,Hampden County,1228,41608,2087,0.029513555,0.588404408,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01107,4,"Springfield, MA",Springfield,MA,Hampden County,1171,41608,1743,0.028143626,0.671830178,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01118,4,"Springfield, MA",Springfield,MA,Hampden County,1062,41608,1690,0.025523938,0.628402367,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01119,4,"Springfield, MA",Springfield,MA,Hampden County,1040,41608,1628,0.024995193,0.638820639,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01106,4,"Longmeadow, MA",Longmeadow,MA,Hampden County,989,41608,1440,0.023769467,0.686805556,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01095,4,"Wilbraham, MA",Wilbraham,MA,Hampden County,825,41608,1501,0.019827918,0.549633578,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01075,4,"South Hadley, MA",South Hadley,MA,Hampshire County,775,41608,1937,0.018626226,0.400103252,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01151,4,"Indian Orchard, MA",Indian Orchard,MA,Hampden County,759,41608,1172,0.018241684,0.647610922,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01030,4,"Feeding Hills, MA",Feeding Hills,MA,Hampden County,631,41608,1150,0.015165353,0.548695652,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01007,4,"Belchertown, MA",Belchertown,MA,Hampshire County,532,41608,1150,0.012786003,0.462608696,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01201,4,"Pittsfield, MA",Pittsfield,MA,Berkshire County,515,41608,7457,0.012377427,0.069062626,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01301,4,"Greenfield, MA",Greenfield,MA,Franklin County,512,41608,2564,0.012305326,0.199687988,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01027,4,"Easthampton, MA",Easthampton,MA,Hampshire County,500,41608,1890,0.01201692,0.264550265,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01082,4,"Ware, MA",Ware,MA,Hampshire County,485,41608,1131,0.011656412,0.42882405,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01129,4,"Springfield, MA",Springfield,MA,Hampden County,431,41608,733,0.010358585,0.587994543,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01069,4,"Palmer, MA",Palmer,MA,Hampden County,363,41608,1044,0.008724284,0.347701149,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01077,4,"Southwick, MA",Southwick,MA,Hampden County,362,41608,920,0.00870025,0.393478261,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01057,4,"Monson, MA",Monson,MA,Hampden County,358,41608,763,0.008604115,0.469200524,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01060,4,"Northampton, MA",Northampton,MA,Hampshire County,302,41608,1619,0.00725822,0.186534898,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01002,4,"Amherst, MA",Amherst,MA,Hampshire County,301,41608,1647,0.007234186,0.182756527,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01036,4,"Hampden, MA",Hampden,MA,Hampden County,273,41608,474,0.006561238,0.575949367,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01033,4,"Granby, MA",Granby,MA,Hampshire County,264,41608,581,0.006344934,0.454388985,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01103,4,"Springfield, MA",Springfield,MA,Hampden County,251,41608,378,0.006032494,0.664021164,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01199,4,"Springfield, MA",Springfield,MA,Hampden County,218,41608,267,0.005239377,0.816479401,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01062,4,"Florence, MA",Florence,MA,Hampshire County,208,41608,1026,0.004999039,0.202729045,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01128,4,"Springfield, MA",Springfield,MA,Hampden County,172,41608,281,0.00413382,0.612099644,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01073,4,"Southampton, MA",Southampton,MA,Hampshire County,167,41608,516,0.004013651,0.323643411,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01247,4,"North Adams, MA",North Adams,MA,Berkshire County,167,41608,2038,0.004013651,0.081943081,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01376,4,"Turners Falls, MA",Turners Falls,MA,Franklin County,162,41608,839,0.003893482,0.193087008,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01035,4,"Hadley, MA",Hadley,MA,Hampshire County,155,41608,595,0.003725245,0.260504202,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01101,4,"Springfield, MA",Springfield,MA,Hampden County,144,41608,252,0.003460873,0.571428571,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01080,4,"Three Rivers, MA",Three Rivers,MA,Hampden County,135,41608,317,0.003244568,0.425867508,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01022,4,"Chicopee, MA",Chicopee,MA,Hampden County,113,41608,238,0.002715824,0.474789916,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01230,4,"Great Barrington, MA",Great Barrington,MA,Berkshire County,105,41608,895,0.002523553,0.117318436,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01083,4,"Warren, MA",Warren,MA,Worcester County,95,41608,291,0.002283215,0.326460481,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01220,4,"Adams, MA",Adams,MA,Berkshire County,94,41608,964,0.002259181,0.097510373,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01373,4,"South Deerfield, MA",South Deerfield,MA,Franklin County,77,41608,377,0.001850606,0.204244032,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01238,4,"Lee, MA",Lee,MA,Berkshire County,75,41608,721,0.001802538,0.104022191,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01370,4,"Shelburne Falls, MA",Shelburne Falls,MA,Franklin County,74,41608,390,0.001778504,0.18974359,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01585,4,"West Brookfield, MA",West Brookfield,MA,Worcester County,73,41608,457,0.00175447,0.159737418,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01010,4,"Brimfield, MA",Brimfield,MA,Hampden County,70,41608,404,0.001682369,0.173267327,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01050,4,"Huntington, MA",Huntington,MA,Hampshire County,69,41608,239,0.001658335,0.288702929,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01053,4,"Leeds, MA",Leeds,MA,Hampshire County,69,41608,394,0.001658335,0.175126904,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01375,4,"Sunderland, MA",Sunderland,MA,Franklin County,68,41608,268,0.001634301,0.253731343,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01038,4,"Hatfield, MA",Hatfield,MA,Hampshire County,64,41608,250,0.001538166,0.256,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01226,4,"Dalton, MA",Dalton,MA,Berkshire County,61,41608,707,0.001466064,0.086280057,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01364,4,"Orange, MA",Orange,MA,Franklin County,61,41608,953,0.001466064,0.064008395,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01225,4,"Cheshire, MA",Cheshire,MA,Berkshire County,58,41608,362,0.001393963,0.160220994,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01351,4,"Montague, MA",Montague,MA,Franklin County,58,41608,227,0.001393963,0.255506608,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01331,4,"Athol, MA",Athol,MA,Worcester County,56,41608,1928,0.001345895,0.029045643,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01337,4,"Bernardston, MA",Bernardston,MA,Franklin County,56,41608,289,0.001345895,0.193771626,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01071,4,"Russell, MA",Russell,MA,Hampden County,54,41608,140,0.001297827,0.385714286,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01092,4,"West Warren, MA",West Warren,MA,Worcester County,54,41608,113,0.001297827,0.477876106,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01360,4,"Northfield, MA",Northfield,MA,Franklin County,54,41608,248,0.001297827,0.217741935,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01009,4,"Bondsville, MA",Bondsville,MA,Hampden County,51,41608,128,0.001225726,0.3984375,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01011,4,"Chester, MA",Chester,MA,Hampden County,51,41608,135,0.001225726,0.377777778,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01096,4,"Williamsburg, MA",Williamsburg,MA,Hampshire County,51,41608,209,0.001225726,0.244019139,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01034,4,"Granville, MA",Granville,MA,Hampden County,48,41608,142,0.001153624,0.338028169,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01054,4,"Leverett, MA",Leverett,MA,Franklin County,46,41608,167,0.001105557,0.275449102,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01267,4,"Williamstown, MA",Williamstown,MA,Berkshire County,46,41608,795,0.001105557,0.057861635,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01340,4,"Colrain, MA",Colrain,MA,Franklin County,44,41608,190,0.001057489,0.231578947,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01079,4,"Thorndike, MA",Thorndike,MA,Hampden County,43,41608,93,0.001033455,0.462365591,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01257,4,"Sheffield, MA",Sheffield,MA,Berkshire County,43,41608,206,0.001033455,0.208737864,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01031,4,"Gilbertville, MA",Gilbertville,MA,Worcester County,42,41608,142,0.001009421,0.295774648,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01008,4,"Blandford, MA",Blandford,MA,Hampden County,41,41608,115,0.000985387,0.356521739,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01240,4,"Lenox, MA",Lenox,MA,Berkshire County,41,41608,643,0.000985387,0.063763608,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01339,4,"Charlemont, MA",Charlemont,MA,Franklin County,40,41608,166,0.000961354,0.240963855,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01342,4,"Deerfield, MA",Deerfield,MA,Franklin County,40,41608,154,0.000961354,0.25974026,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01081,4,"Wales, MA",Wales,MA,Hampden County,39,41608,169,0.00093732,0.230769231,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01354,4,"Gill, MA",Gill,MA,Franklin County,39,41608,174,0.00093732,0.224137931,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01098,4,"Worthington, MA",Worthington,MA,Hampshire County,37,41608,115,0.000889252,0.32173913,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01235,4,"Hinsdale, MA",Hinsdale,MA,Berkshire County,35,41608,313,0.000841184,0.111821086,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01344,4,"Erving, MA",Erving,MA,Franklin County,35,41608,173,0.000841184,0.202312139,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01086,4,"Westfield, MA",Westfield,MA,Hampden County,32,41608,91,0.000769083,0.351648352,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01330,4,"Ashfield, MA",Ashfield,MA,Franklin County,32,41608,124,0.000769083,0.258064516,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01341,4,"Conway, MA",Conway,MA,Franklin County,32,41608,126,0.000769083,0.253968254,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01223,4,"Becket, MA",Becket,MA,Berkshire County,31,41608,210,0.000745049,0.147619048,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01236,4,"Housatonic, MA",Housatonic,MA,Berkshire County,29,41608,195,0.000696981,0.148717949,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01072,4,"Shutesbury, MA",Shutesbury,MA,Franklin County,28,41608,120,0.000672948,0.233333333,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01253,4,"Otis, MA",Otis,MA,Berkshire County,28,41608,95,0.000672948,0.294736842,"40,000 or more",Teaching Hospital,More than $500M
Baystate Medical Center,Baystate Health System,Teaching Hospital,01029,4,"East Otis, MA",East Otis,MA,Berkshire County,26,41608,69,0.00062488,0.376811594,"40,000 or more",Teaching Hospital,More than $500M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01301,5,"Greenfield, MA",Greenfield,MA,Franklin County,1701,5079,2564,0.334908447,0.663416537,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01376,5,"Turners Falls, MA",Turners Falls,MA,Franklin County,577,5079,839,0.11360504,0.68772348,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01370,5,"Shelburne Falls, MA",Shelburne Falls,MA,Franklin County,239,5079,390,0.047056507,0.612820513,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01337,5,"Bernardston, MA",Bernardston,MA,Franklin County,194,5079,289,0.038196495,0.671280277,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01364,5,"Orange, MA",Orange,MA,Franklin County,151,5079,953,0.029730262,0.158447009,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01360,5,"Northfield, MA",Northfield,MA,Franklin County,150,5079,248,0.029533373,0.60483871,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01331,5,"Athol, MA",Athol,MA,Worcester County,138,5079,1928,0.027170703,0.071576763,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01373,5,"South Deerfield, MA",South Deerfield,MA,Franklin County,136,5079,377,0.026776925,0.360742706,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01351,5,"Montague, MA",Montague,MA,Franklin County,128,5079,227,0.025201811,0.563876652,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01340,5,"Colrain, MA",Colrain,MA,Franklin County,118,5079,190,0.02323292,0.621052632,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01344,5,"Erving, MA",Erving,MA,Franklin County,114,5079,173,0.022445363,0.658959538,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01339,5,"Charlemont, MA",Charlemont,MA,Franklin County,101,5079,166,0.019885804,0.608433735,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01354,5,"Gill, MA",Gill,MA,Franklin County,99,5079,174,0.019492026,0.568965517,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01375,5,"Sunderland, MA",Sunderland,MA,Franklin County,79,5079,268,0.015554243,0.294776119,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01342,5,"Deerfield, MA",Deerfield,MA,Franklin County,72,5079,154,0.014176019,0.467532468,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01349,5,"Millers Falls, MA",Millers Falls,MA,Franklin County,60,5079,91,0.011813349,0.659340659,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01002,5,"Amherst, MA",Amherst,MA,Hampshire County,58,5079,1647,0.011419571,0.035215543,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01060,5,"Northampton, MA",Northampton,MA,Hampshire County,50,5079,1619,0.009844458,0.030883261,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01302,5,"Greenfield, MA",Greenfield,MA,Franklin County,50,5079,79,0.009844458,0.632911392,"1,000-9,999",Community High Public Payer Hospital,$100M-$250M
